"smca","red","nombre_estacion","clave_estacion","nombre_contaminante","clave_contaminante","fecha","hora","valor","unidades","longitud","latitud"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","0","0.02","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","2","0.01","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","4","0.02","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","5","0.01","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","6","0.21","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","7","0.17","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","8","0.07","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","9","0.04","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","10","0.15","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","11","0.12","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","12","0.11","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","14","0.03","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","15","0.01","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","16","0.13","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","17","0.42","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","18","0.16","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","20","0.02","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","21","0.16","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","22","0.51","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","23","1.94","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","0","2.78","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","1","1.58","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","2","2.52","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","3","1.47","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","4","0.59","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","5","0.48","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","6","0.52","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","7","0.3","ppm","20.97327222","-89.62481111"
