categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),433637505.75,136215831.01,33674853.23,1548431.93,723.128,0.0,0.0,0.0,1191895.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761,133494.69,35880.55,100.084,0.001,35.761,0.001,905.258,97370.61,606537027.89,80330.93
EMISIONES Sin UTCUTS,421000311.86,135444743.67,33366342.1,1548431.93,723.128,0.0,0.0,0.0,1191895.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761,133494.69,35880.55,100.084,0.001,35.761,0.001,905.258,97370.61,592820235.53,
EMISIONES NETAS (Emisiones + Absorciones),225420458.8,136215831.01,33674853.23,1548431.93,723.128,0.0,0.0,0.0,1191895.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761,133494.69,35880.55,100.084,0.001,35.761,0.001,905.258,97370.61,398319980.93,
[1] Energía,374090002.38,24413043.75,3480310.64,,,,,,,,,,,,,,,,,,,,,,,,,401983356.77,72577.29
[1A] Actividades de quema del combustible,358427398.23,957019.33,3460434.73,,,,,,,,,,,,,,,,,,,,,,,,,362844852.29,68169.6
[1A1] Industrias de la energía,162372655.91,143887.02,329024.01,,,,,,,,,,,,,,,,,,,,,,,,,162845566.93,14359.41
[1A1a] Actividad principal producción de electricidad y calor,128076978.26,121096.34,296171.98,,,,,,,,,,,,,,,,,,,,,,,,,128494246.58,12866.76
[1A1b] Refinación del petróleo,10393351.24,7918.11,12526.93,,,,,,,,,,,,,,,,,,,,,,,,,10413796.28,1187.37
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,23902326.41,14872.57,20325.1,,,,,,,,,,,,,,,,,,,,,,,,,23937524.08,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1054821.84,5.274,,,,,,,,,,,,,,,,,,,,,,,,,,1054827.11,
1A1cii Otras Industrias de la energía  ,22847504.58,14867.29,20325.1,,,,,,,,,,,,,,,,,,,,,,,,,22882696.97,305.281
[1A2] Industrias manufactura y de la construcción,40225812.66,74253.32,105033.33,,,,,,,,,,,,,,,,,,,,,,,,,40405099.31,1171.37
[1A2a] Hierro y acero,2384538.88,1690.06,2527.62,,,,,,,,,,,,,,,,,,,,,,,,,2388756.56,50.852
[1A2b] Metales no ferrosos,1177503.34,897.742,1413.12,,,,,,,,,,,,,,,,,,,,,,,,,1179814.2,16.443
[1A2c] Sustancias químicas,4581735.44,3223.27,4832.59,,,,,,,,,,,,,,,,,,,,,,,,,4589791.3,78.095
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,4410776.06,3135.71,4742.08,,,,,,,,,,,,,,,,,,,,,,,,,4418653.84,77.607
1A2ciii Fertilizantes,170959.39,87.559,90.508,,,,,,,,,,,,,,,,,,,,,,,,,171137.45,0.489
"[1A2d] Pulpa, papel e imprenta",2305830.37,1741.09,2734.26,,,,,,,,,,,,,,,,,,,,,,,,,2310305.73,59.294
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",3180275.51,37791.97,49452.73,,,,,,,,,,,,,,,,,,,,,,,,,3267520.21,590.465
1A2ei elaboración de azúcares,1786945.6,36564.15,47332.71,,,,,,,,,,,,,,,,,,,,,,,,,1870842.46,547.735
1A2eii elaboración de bebidas,409792.28,402.891,728.804,,,,,,,,,,,,,,,,,,,,,,,,,410923.98,8.768
1A2eiii elaboración de productos de tabaco,15493.35,8.473,9.69,,,,,,,,,,,,,,,,,,,,,,,,,15511.51,0.122
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,968044.28,816.452,1381.53,,,,,,,,,,,,,,,,,,,,,,,,,970242.25,33.841
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,133961.43,80.928,104.092,,,,,,,,,,,,,,,,,,,,,,,,,134146.45,0.405
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,7921185.58,8942.24,15142.0,,,,,,,,,,,,,,,,,,,,,,,,,7945269.82,82.766
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,446508.49,514.843,974.524,,,,,,,,,,,,,,,,,,,,,,,,,447997.86,1.979
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,18094273.62,19371.18,27852.4,,,,,,,,,,,,,,,,,,,,,,,,,18141497.2,291.067
