categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t,Unnamed: 30
1A2miii Otras ramas,21624800.54,31711.34,43493.65,,,,,,,,,,,,,,,,,,,,,,,,,21700005.54,157.349,
[1A3] Transporte,166161349.69,646477.68,1635374.53,,,,,,,,,,,,,,,,,,,,,,,,,168443201.9,14368.94,
[1A3a] Aviación civil,7633052.09,1471.65,55712.62,,,,,,,,,,,,,,,,,,,,,,,,,7690236.37,107.984,
[1A3b] Autotransporte,153596354.23,634309.38,1322936.84,,,,,,,,,,,,,,,,,,,,,,,,,155553600.44,14059.0,
[1A3c] Ferrocarriles,2284367.3,3643.66,237653.22,,,,,,,,,,,,,,,,,,,,,,,,,2525664.18,53.87,
[1A3d] Navegación marítima y fluvial,2647576.06,7052.99,19071.85,,,,,,,,,,,,,,,,,,,,,,,,,2673700.91,148.088,
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,34987387.56,356822.14,365482.95,,,,,,,,,,,,,,,,,,,,,,,,,35709692.65,38407.48,
[1A4a] Comercial/institucional,6396172.03,14069.14,2663.09,,,,,,,,,,,,,,,,,,,,,,,,,6412904.26,3036.99,
[1A4b] Residencial,19359008.5,307860.3,343290.2,,,,,,,,,,,,,,,,,,,,,,,,,20010159.0,35106.82,
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,9232207.03,34892.7,19529.66,,,,,,,,,,,,,,,,,,,,,,,,,9286629.39,263.67,
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,18549537.35,19069988.53,8521.68,,,,,,,,,,,,,,,,,,,,,,,,,37628047.55,11870.83,
[1B1] Combustibles sólidos,44404.36,1561832.44,,,,,,,,,,,,,,,,,,,,,,,,,,1606236.8,,
[1B1a] Minería carbonífera y manejo del carbón,44404.36,1561832.44,,,,,,,,,,,,,,,,,,,,,,,,,,1606236.8,,
[1B1ai] Minas subterráneas,42288.7,1498101.25,,,,,,,,,,,,,,,,,,,,,,,,,,1540389.95,,
[1B1aii] Minas superficie,2115.66,63731.19,,,,,,,,,,,,,,,,,,,,,,,,,,65846.85,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,18505132.99,17508156.09,8521.68,,,,,,,,,,,,,,,,,,,,,,,,,36021810.75,11870.83,
[1B2a] Petróleo,14165702.26,12765942.07,8495.0,,,,,,,,,,,,,,,,,,,,,,,,,26940139.33,,
1B2ai Venteo petróleo,3659612.79,4902925.14,,,,,,,,,,,,,,,,,,,,,,,,,,8562537.93,,
1B2aii Quemado petróleo,10473091.16,7797907.77,8495.0,,,,,,,,,,,,,,,,,,,,,,,,,18279493.93,11870.83,*
1B2aiii Otras fugitivas petróleo,32998.31,65109.16,,,,,,,,,,,,,,,,,,,,,,,,,,98107.47,,
[1B2b] Gas natural,4339430.72,4742214.02,26.679,,,,,,,,,,,,,,,,,,,,,,,,,9081671.42,,
1B2bi Venteo gas natural,1515829.61,1359124.29,,,,,,,,,,,,,,,,,,,,,,,,,,2874953.91,,
1B2bii Quemado gas natural,2820837.61,1999920.0,26.679,,,,,,,,,,,,,,,,,,,,,,,,,4820784.29,,
1B2biii Otras fugitivas gas natural,2763.5,1383169.73,,,,,,,,,,,,,,,,,,,,,,,,,,1385933.23,,
[2] Procesos industriales y uso de productos,43775345.07,175621.58,408472.89,1340366.3,3770675.02,8068.5,201207.02,271.789,9656314.67,12080372.66,311005.9,174390.75,833798.24,55124.03,75398.15,74349.24,32626.41,2031271.3,88364.07,27475.96,3028.85,271.57,0.003,97.14,0.002,2700.88,400994.78,75527612.76,,
[2A] Industria de los minerales,30148902.01,,,,,,,,,,,,,,,,,,,,,,,,,,,30148902.01,,
[2A1] Producción de cemento,19777568.65,,,,,,,,,,,,,,,,,,,,,,,,,,,19777568.65,,
[2A2] Producción de cal,3948594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3948594.0,,
[2A3] Producción de vidrio,1042076.36,,,,,,,,,,,,,,,,,,,,,,,,,,,1042076.36,,
[2A4] Otros usos de carbonatos,5380663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5380663.0,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[2B] Industria química,2220566.83,175621.58,408147.44,1339735.68,,,,,,,,,,,,,,,,,,,,,,,,4144071.52,,
[2B1] Producción de amoniaco,247363.61,,,,,,,,,,,,,,,,,,,,,,,,,,,247363.61,,
[2B2] Producción de ácido nítrico,,,408147.44,,,,,,,,,,,,,,,,,,,,,,,,,408147.44,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[2B6] Producción de dióxido de titanio,397779.89,,,,,,,,,,,,,,,,,,,,,,,,,,,397779.89,,
[2B7] Producción de ceniza de sosa,162616.93,,,,,,,,,,,,,,,,,,,,,,,,,,,162616.93,,
[2B8] Producción petroquímica y negro de humo,1412806.4,175621.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1588427.98,,
[2B9] Producción fluoroquímica,,,,1339735.68,,,,,,,,,,,,,,,,,,,,,,,,1339735.68,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[2C] Industria de los metales,11369534.42,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,11369534.42,,
[2C1] Producción de hierro y acero,11011486.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,11011486.57,,
[2C2] Producción de ferroaleaciones,278778.4,,,,,,,,,,,,,,,,,,,,,,,,,,,278778.4,,
[2C3] Producción de aluminio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C5] Producción de plomo,79269.45,,,,,,,,,,,,,,,,,,,,,,,,,,,79269.45,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,4521.08,,,,,,,,,,,,,,,,,,,,,,,,,,,4521.08,,
[2D1] Uso de lubricantes,2934.45,,,,,,,,,,,,,,,,,,,,,,,,,,,2934.45,,
[2D2] Uso de la cera de parafina,1586.63,,,,,,,,,,,,,,,,,,,,,,,,,,,1586.63,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2E] Industria electrónica,,,325.459,630.616,,,,,,,,,,,,,,,2.066,27475.96,3028.85,271.57,0.003,97.14,0.002,2700.88,2340.61,36873.16,,
[2E1] Circuitos integrados o semiconductores,,,272.23,630.616,,,,,,,,,,,,,,,2.066,2427.67,1354.81,271.57,0.003,97.03,0.002,2456.35,1195.12,8707.47,,
[2E2] Pantalla plana tipo TFT,,,53.229,,,,,,,,,,,,,,,,,50.74,,,,0.11,,244.53,1145.49,1494.1,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,24997.55,1674.04,,,,,,,26671.59,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,,,,,3770675.02,8068.5,201207.02,271.789,9656314.67,12080372.66,311005.9,174390.75,833798.24,55124.03,75398.15,74349.24,32626.41,2031271.3,88362.0,,,,,,,,,29393235.67,,
[2F1] Refrigeración y aire acondicionado,,,,,3770675.02,,,,8805660.63,12080372.66,311005.9,,,,,,,2031271.3,88362.0,,,,,,,,,27087347.5,,
[2F2] Agentes espumantes,,,,,,,,271.789,2031.97,,,174390.75,,,,25439.51,,,,,,,,,,,,202134.02,,
[2F3] Protección contra incendios,,,,,,,201207.02,,,,,,,55124.03,75398.15,,32626.41,,,,,,,,,,,364355.61,,
[2F4] Aerosoles,,,,,,,,,848622.07,,,,833798.24,,,48909.73,,,,,,,,,,,,1731330.04,,
[2F5] Solventes,,,,,,8068.5,,,,,,,,,,,,,,,,,,,,,,8068.5,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G] Manufactura y utilización de otros productos,,,,,,,,,,,,,,,,,,,,,,,,,,,398654.17,398654.17,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,398654.17,398654.17,,
