categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),324487943.26,115988107.89,29036739.97,882870.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253207.66,67562.62,0.0,0.0,0.0,0.0,0.0,39035.77,470755467.25,81154.92
EMISIONES Sin UTCUTS,317637144.17,115359817.39,28782289.07,882870.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253207.66,67562.62,0.0,0.0,0.0,0.0,0.0,39035.77,463021926.75,
EMISIONES NETAS (Emisiones + Absorciones),118511696.67,115988107.89,29036739.97,882870.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253207.66,67562.62,0.0,0.0,0.0,0.0,0.0,39035.77,264779220.66,
[1] Energía,287631118.19,13910814.09,3011390.29,,,,,,,,,,,,,,,,,,,,,,,,,304553322.57,74443.9
[1A] Actividades de quema del combustible,276752006.86,877493.04,3001985.51,,,,,,,,,,,,,,,,,,,,,,,,,280631485.41,72527.49
[1A1] Industrias de la energía,110513671.06,94450.6,185486.72,,,,,,,,,,,,,,,,,,,,,,,,,110793608.37,13737.08
[1A1a] Actividad principal producción de electricidad y calor,72650041.22,64183.91,142699.47,,,,,,,,,,,,,,,,,,,,,,,,,72856924.59,11788.6
[1A1b] Refinación del petróleo,9051369.64,8525.79,15301.41,,,,,,,,,,,,,,,,,,,,,,,,,9075196.84,1643.2
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,28812260.21,21740.9,27485.84,,,,,,,,,,,,,,,,,,,,,,,,,28861486.95,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1121237.34,5.606,,,,,,,,,,,,,,,,,,,,,,,,,,1121242.94,
1A1cii Otras Industrias de la energía  ,27691022.87,21735.29,27485.84,,,,,,,,,,,,,,,,,,,,,,,,,27740244.0,305.281
[1A2] Industrias manufactura y de la construcción,39773606.18,104431.49,144435.85,,,,,,,,,,,,,,,,,,,,,,,,,40022473.52,1892.86
[1A2a] Hierro y acero,4832707.61,3494.65,5322.61,,,,,,,,,,,,,,,,,,,,,,,,,4841524.87,115.042
[1A2b] Metales no ferrosos,2062500.49,1505.0,2286.95,,,,,,,,,,,,,,,,,,,,,,,,,2066292.44,32.351
[1A2c] Sustancias químicas,7058035.57,5522.24,8877.92,,,,,,,,,,,,,,,,,,,,,,,,,7072435.74,192.197
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,6378875.84,5060.3,8209.62,,,,,,,,,,,,,,,,,,,,,,,,,6392145.76,178.926
1A2ciii Fertilizantes,679159.73,461.944,668.304,,,,,,,,,,,,,,,,,,,,,,,,,680289.98,13.271
"[1A2d] Pulpa, papel e imprenta",2964167.54,2332.15,3767.32,,,,,,,,,,,,,,,,,,,,,,,,,2970267.0,85.026
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",4301349.69,4308.47,7957.9,,,,,,,,,,,,,,,,,,,,,,,,,4313616.06,204.854
1A2ei elaboración de azúcares,3175576.32,3357.82,6355.87,,,,,,,,,,,,,,,,,,,,,,,,,3185290.0,173.14
1A2eii elaboración de bebidas,396053.25,333.816,558.806,,,,,,,,,,,,,,,,,,,,,,,,,396945.87,6.329
1A2eiii elaboración de productos de tabaco,18977.6,12.124,16.563,,,,,,,,,,,,,,,,,,,,,,,,,19006.29,0.3
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,710742.52,604.716,1026.66,,,,,,,,,,,,,,,,,,,,,,,,,712373.9,25.085
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,187804.79,108.108,135.23,,,,,,,,,,,,,,,,,,,,,,,,,188048.13,0.536
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,6803282.85,6897.35,12818.85,,,,,,,,,,,,,,,,,,,,,,,,,6822999.05,206.779
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,350630.76,404.292,765.267,,,,,,,,,,,,,,,,,,,,,,,,,351800.32,1.554
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,11213126.89,79859.23,102503.81,,,,,,,,,,,,,,,,,,,,,,,,,11395489.93,1054.52
1A2mi Fabricación de vidrio y productos de vidrio,1613989.05,871.752,978.168,,,,,,,,,,,,,,,,,,,,,,,,,1615838.97,9.993
1A2mii Fabricación de productos de hule,269244.61,183.316,262.695,,,,,,,,,,,,,,,,,,,,,,,,,269690.62,3.159
1A2miii Otras ramas,9329893.23,78804.16,101262.95,,,,,,,,,,,,,,,,,,,,,,,,,9509960.33,1041.36
[1A3] Transporte,97756041.56,369397.79,2351049.55,,,,,,,,,,,,,,,,,,,,,,,,,100476488.89,23450.02
[1A3a] Aviación civil,3570497.47,688.422,26061.69,,,,,,,,,,,,,,,,,,,,,,,,,3597247.58,50.601
[1A3b] Autotransporte,90302125.89,360353.05,2140343.39,,,,,,,,,,,,,,,,,,,,,,,,,92802822.32,22927.12
[1A3c] Ferrocarriles,1625009.28,2591.96,169057.17,,,,,,,,,,,,,,,,,,,,,,,,,1796658.41,38.318
[1A3d] Navegación marítima y fluvial,2258408.92,5764.36,15587.3,,,,,,,,,,,,,,,,,,,,,,,,,2279760.58,433.986
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,28708688.06,309213.16,321013.4,,,,,,,,,,,,,,,,,,,,,,,,,29338914.62,33447.53
[1A4a] Comercial/institucional,4860362.29,13834.1,5883.08,,,,,,,,,,,,,,,,,,,,,,,,,4880079.47,1923.7
[1A4b] Residencial,18730656.24,275867.68,304135.6,,,,,,,,,,,,,,,,,,,,,,,,,19310659.52,31428.6
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,5117669.53,19511.38,10994.72,,,,,,,,,,,,,,,,,,,,,,,,,5148175.63,95.23
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,10879111.33,13033321.05,9404.78,,,,,,,,,,,,,,,,,,,,,,,,,23921837.16,1916.41
[1B1] Combustibles sólidos,64198.5,2258051.0,,,,,,,,,,,,,,,,,,,,,,,,,,2322249.5,
[1B1a] Minería carbonífera y manejo del carbón,64198.5,2258051.0,,,,,,,,,,,,,,,,,,,,,,,,,,2322249.5,
[1B1ai] Minas subterráneas,61139.74,2165910.33,,,,,,,,,,,,,,,,,,,,,,,,,,2227050.07,
[1B1aii] Minas superficie,3058.76,92140.67,,,,,,,,,,,,,,,,,,,,,,,,,,95199.43,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,10814912.83,10775270.05,9404.78,,,,,,,,,,,,,,,,,,,,,,,,,21599587.66,1916.41
[1B2a] Petróleo,9135451.08,8434422.8,9363.98,,,,,,,,,,,,,,,,,,,,,,,,,17579237.86,
1B2ai Venteo petróleo,6098172.93,5869743.12,,,,,,,,,,,,,,,,,,,,,,,,,,11967916.05,
1B2aii Quemado petróleo,2995429.01,2506388.28,9363.98,,,,,,,,,,,,,,,,,,,,,,,,,5511181.27,1916.41
1B2aiii Otras fugitivas petróleo,41849.14,58291.41,,,,,,,,,,,,,,,,,,,,,,,,,,100140.54,
[1B2b] Gas natural,1679461.75,2340847.25,40.8,,,,,,,,,,,,,,,,,,,,,,,,,4020349.8,
