categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),560005809.36,164889820.02,38630491.44,1719111.37,1738815.1,3102.07,37805.67,280.098,7786428.45,8323654.13,264512.07,412785.7,407737.47,44179.54,68946.91,58366.14,4735.41,1180910.43,1.869,23210.73,2629.59,245.714,0.003,87.91,0.002,2474.45,400915.9,786007057.49,70561.8
EMISIONES Sin UTCUTS,535579838.43,164141021.78,38237655.18,1719111.37,1738815.1,3102.07,37805.67,280.098,7786428.45,8323654.13,264512.07,412785.7,407737.47,44179.54,68946.91,58366.14,4735.41,1180910.43,1.869,23210.73,2629.59,245.714,0.003,87.91,0.002,2474.45,400915.9,760439452.07,
EMISIONES NETAS (Emisiones + Absorciones),352504648.76,164889820.02,38630491.44,1719111.37,1738815.1,3102.07,37805.67,280.098,7786428.45,8323654.13,264512.07,412785.7,407737.47,44179.54,68946.91,58366.14,4735.41,1180910.43,1.869,23210.73,2629.59,245.714,0.003,87.91,0.002,2474.45,400915.9,578505896.9,
[1] Energía,481892360.17,18096623.22,2621571.83,,,,,,,,,,,,,,,,,,,,,,,,,502610555.22,64239.55
[1A] Actividades de quema del combustible,469493216.35,1075185.51,2591968.86,,,,,,,,,,,,,,,,,,,,,,,,,473160370.72,58136.3
[1A1] Industrias de la energía,202801702.58,174115.89,303602.74,,,,,,,,,,,,,,,,,,,,,,,,,203279421.21,8268.98
[1A1a] Actividad principal producción de electricidad y calor,170956119.95,157235.79,284030.71,,,,,,,,,,,,,,,,,,,,,,,,,171397386.44,7280.41
[1A1b] Refinación del petróleo,10238677.97,6498.65,8833.49,,,,,,,,,,,,,,,,,,,,,,,,,10254010.1,683.294
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,21606904.66,10381.45,10738.55,,,,,,,,,,,,,,,,,,,,,,,,,21628024.66,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1058014.08,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,1058019.37,
1A1cii Otras Industrias de la energía  ,20548890.58,10376.16,10738.55,,,,,,,,,,,,,,,,,,,,,,,,,20570005.29,305.281
[1A2] Industrias manufactura y de la construcción,66132166.05,113382.39,153715.82,,,,,,,,,,,,,,,,,,,,,,,,,66399264.25,802.287
[1A2a] Hierro y acero,7520596.64,3696.89,3585.74,,,,,,,,,,,,,,,,,,,,,,,,,7527879.27,23.914
[1A2b] Metales no ferrosos,2104908.96,1324.19,1818.81,,,,,,,,,,,,,,,,,,,,,,,,,2108051.96,12.537
[1A2c] Sustancias químicas,6708602.76,3505.27,3741.76,,,,,,,,,,,,,,,,,,,,,,,,,6715849.79,23.019
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,6680006.58,3482.14,3704.73,,,,,,,,,,,,,,,,,,,,,,,,,6687193.45,22.916
1A2ciii Fertilizantes,28596.18,23.131,37.026,,,,,,,,,,,,,,,,,,,,,,,,,28656.34,0.103
"[1A2d] Pulpa, papel e imprenta",2953969.49,1674.93,2004.11,,,,,,,,,,,,,,,,,,,,,,,,,2957648.53,22.626
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",749927.76,36004.92,45675.71,,,,,,,,,,,,,,,,,,,,,,,,,831608.38,463.949
1A2ei elaboración de azúcares,0.0,35387.4,44655.53,,,,,,,,,,,,,,,,,,,,,,,,,80042.93,459.615
1A2eii elaboración de bebidas,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1A2eiii elaboración de productos de tabaco,710885.52,576.155,941.889,,,,,,,,,,,,,,,,,,,,,,,,,712403.56,2.246
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,39042.24,41.359,78.287,,,,,,,,,,,,,,,,,,,,,,,,,39161.89,2.089
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,665922.89,385.376,473.13,,,,,,,,,,,,,,,,,,,,,,,,,666781.39,1.975
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,11664373.79,12754.53,21386.03,,,,,,,,,,,,,,,,,,,,,,,,,11698514.35,67.103
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,488936.62,563.764,1067.13,,,,,,,,,,,,,,,,,,,,,,,,,490567.51,2.167
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,33274927.16,53472.52,73963.4,,,,,,,,,,,,,,,,,,,,,,,,,33402363.08,184.998
1A2mi Fabricación de vidrio y productos de vidrio,2761981.61,1358.44,1319.57,,,,,,,,,,,,,,,,,,,,,,,,,2764659.62,8.626
1A2mii Fabricación de productos de hule,547766.58,389.922,574.153,,,,,,,,,,,,,,,,,,,,,,,,,548730.66,3.251
1A2miii Otras ramas,29965178.96,51724.16,72069.68,,,,,,,,,,,,,,,,,,,,,,,,,30088972.79,173.12
[1A3] Transporte,168808925.59,429220.32,1760370.57,,,,,,,,,,,,,,,,,,,,,,,,,170998516.47,13226.1
[1A3a] Aviación civil,8633425.39,1664.53,63014.22,,,,,,,,,,,,,,,,,,,,,,,,,8698104.13,122.136
[1A3b] Autotransporte,157005227.48,420729.52,1527695.62,,,,,,,,,,,,,,,,,,,,,,,,,158953652.63,12977.6
[1A3c] Ferrocarriles,1516242.72,2418.47,157741.69,,,,,,,,,,,,,,,,,,,,,,,,,1676402.88,35.75
[1A3d] Navegación marítima y fluvial,1654030.0,4407.8,11919.04,,,,,,,,,,,,,,,,,,,,,,,,,1670356.83,90.614
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,31750422.14,358466.92,374279.73,,,,,,,,,,,,,,,,,,,,,,,,,32483168.79,35838.93
[1A4a] Comercial/institucional,4086764.37,9087.97,1792.58,,,,,,,,,,,,,,,,,,,,,,,,,4097644.92,1881.63
[1A4b] Residencial,16241202.26,305960.14,348063.92,,,,,,,,,,,,,,,,,,,,,,,,,16895226.32,33714.65
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,11422455.51,43418.81,24423.23,,,,,,,,,,,,,,,,,,,,,,,,,11490297.55,242.65
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,12399143.82,17021437.71,29602.97,,,,,,,,,,,,,,,,,,,,,,,,,29450184.5,6103.25
[1B1] Combustibles sólidos,42133.09,1481945.19,,,,,,,,,,,,,,,,,,,,,,,,,,1524078.28,
[1B1a] Minería carbonífera y manejo del carbón,42133.09,1481945.19,,,,,,,,,,,,,,,,,,,,,,,,,,1524078.28,
[1B1ai] Minas subterráneas,40125.64,1421473.83,,,,,,,,,,,,,,,,,,,,,,,,,,1461599.47,
[1B1aii] Minas superficie,2007.45,60471.36,,,,,,,,,,,,,,,,,,,,,,,,,,62478.81,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,12357010.73,15539492.52,29602.97,,,,,,,,,,,,,,,,,,,,,,,,,27926106.22,6103.25
[1B2a] Petróleo,9621439.57,8629514.73,29565.21,,,,,,,,,,,,,,,,,,,,,,,,,18280519.51,
1B2ai Venteo petróleo,2936033.93,3718147.93,,,,,,,,,,,,,,,,,,,,,,,,,,6654181.86,
1B2aii Quemado petróleo,6651999.42,4797769.2,29565.21,,,,,,,,,,,,,,,,,,,,,,,,,11479333.83,6103.25
1B2aiii Otras fugitivas petróleo,33406.22,113597.6,,,,,,,,,,,,,,,,,,,,,,,,,,147003.82,
[1B2b] Gas natural,2735571.16,6909977.79,37.76,,,,,,,,,,,,,,,,,,,,,,,,,9645586.71,
1B2bi Venteo gas natural,1560780.39,2584094.88,,,,,,,,,,,,,,,,,,,,,,,,,,4144875.27,
1B2bii Quemado gas natural,1171885.18,1641430.8,37.76,,,,,,,,,,,,,,,,,,,,,,,,,2813353.74,
1B2biii Otras fugitivas gas natural,2905.59,2684452.11,,,,,,,,,,,,,,,,,,,,,,,,,,2687357.7,
[2] Procesos industriales y uso de productos,50622969.87,240112.53,653686.92,1719111.37,1738815.1,3102.07,37805.67,280.098,7786428.45,8323654.13,264512.07,412785.7,407737.47,44179.54,68946.91,58366.14,4735.41,1180910.43,1.869,23210.73,2629.59,245.714,0.003,87.91,0.002,2474.45,400915.9,73997706.0,
[2A] Industria de los minerales,30918586.97,,,,,,,,,,,,,,,,,,,,,,,,,,,30918586.97,
[2A1] Producción de cemento,19411143.68,,,,,,,,,,,,,,,,,,,,,,,,,,,19411143.68,
[2A2] Producción de cal,4071177.93,,,,,,,,,,,,,,,,,,,,,,,,,,,4071177.93,
[2A3] Producción de vidrio,1148018.15,,,,,,,,,,,,,,,,,,,,,,,,,,,1148018.15,
