categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),516682899.79,166391350.33,35449730.91,3850369.84,66288.63,0.0,507.196,0.0,3966544.37,3867351.49,30974.6,220935.49,22586.45,0.0,0.0,0.0,0.0,0.0,0.963,1131.2,631.287,126.542,0.001,45.214,0.001,1144.56,140893.31,730693512.18,84604.53
EMISIONES Sin UTCUTS,490806799.34,165709649.45,35180785.1,3850369.84,66288.63,0.0,507.196,0.0,3966544.37,3867351.49,30974.6,220935.49,22586.45,0.0,0.0,0.0,0.0,0.0,0.963,1131.2,631.287,126.542,0.001,45.214,0.001,1144.56,140893.31,703866765.04,
EMISIONES NETAS (Emisiones + Absorciones),312683172.97,166391350.33,35449730.91,3850369.84,66288.63,0.0,507.196,0.0,3966544.37,3867351.49,30974.6,220935.49,22586.45,0.0,0.0,0.0,0.0,0.0,0.963,1131.2,631.287,126.542,0.001,45.214,0.001,1144.56,140893.31,526693785.36,
[1] Energía,441765503.53,43227043.24,3571861.27,,,,,,,,,,,,,,,,,,,,,,,,,488564408.05,77540.48
[1A] Actividades de quema del combustible,408862250.72,965460.5,3502902.43,,,,,,,,,,,,,,,,,,,,,,,,,413330613.65,61549.69
[1A1] Industrias de la energía,172860203.74,139975.48,303085.69,,,,,,,,,,,,,,,,,,,,,,,,,173303264.9,10476.65
[1A1a] Actividad principal producción de electricidad y calor,134140615.87,115319.22,269042.15,,,,,,,,,,,,,,,,,,,,,,,,,134524977.23,8660.55
[1A1b] Refinación del petróleo,12496345.77,9742.9,15661.48,,,,,,,,,,,,,,,,,,,,,,,,,12521750.14,1510.82
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,26223242.1,14913.37,18382.06,,,,,,,,,,,,,,,,,,,,,,,,,26256537.53,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),808777.23,4.044,,,,,,,,,,,,,,,,,,,,,,,,,,808781.27,
1A1cii Otras Industrias de la energía  ,25414464.87,14909.32,18382.06,,,,,,,,,,,,,,,,,,,,,,,,,25447756.26,305.281
[1A2] Industrias manufactura y de la construcción,44563063.47,81215.74,113344.58,,,,,,,,,,,,,,,,,,,,,,,,,44757623.78,930.739
[1A2a] Hierro y acero,2618165.85,1641.44,2200.62,,,,,,,,,,,,,,,,,,,,,,,,,2622007.91,38.349
[1A2b] Metales no ferrosos,1235013.12,993.212,1610.32,,,,,,,,,,,,,,,,,,,,,,,,,1237616.66,9.085
[1A2c] Sustancias químicas,4328615.36,2719.13,3655.42,,,,,,,,,,,,,,,,,,,,,,,,,4334989.9,47.251
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,4122504.53,2612.63,3543.87,,,,,,,,,,,,,,,,,,,,,,,,,4128661.03,46.659
1A2ciii Fertilizantes,206110.83,106.503,111.543,,,,,,,,,,,,,,,,,,,,,,,,,206328.87,0.591
"[1A2d] Pulpa, papel e imprenta",2388416.21,1714.59,2591.41,,,,,,,,,,,,,,,,,,,,,,,,,2392722.21,51.49
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",1976792.21,34800.1,44808.65,,,,,,,,,,,,,,,,,,,,,,,,,2056400.96,495.902
1A2ei elaboración de azúcares,561326.85,33595.03,42768.37,,,,,,,,,,,,,,,,,,,,,,,,,637690.24,459.09
1A2eii elaboración de bebidas,471928.79,447.718,795.561,,,,,,,,,,,,,,,,,,,,,,,,,473172.07,7.502
1A2eiii elaboración de productos de tabaco,20543.64,10.549,11.002,,,,,,,,,,,,,,,,,,,,,,,,,20565.19,0.1
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,922992.93,746.801,1233.72,,,,,,,,,,,,,,,,,,,,,,,,,924973.46,29.209
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,181859.97,108.686,137.975,,,,,,,,,,,,,,,,,,,,,,,,,182106.63,0.548
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,11147162.65,11511.88,20051.3,,,,,,,,,,,,,,,,,,,,,,,,,11178725.83,80.439
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,755021.01,870.571,1647.87,,,,,,,,,,,,,,,,,,,,,,,,,757539.45,3.346
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,19932017.09,26856.13,36641.02,,,,,,,,,,,,,,,,,,,,,,,,,19995514.25,204.329
1A2mi Fabricación de vidrio y productos de vidrio,2603077.9,1423.88,1630.74,,,,,,,,,,,,,,,,,,,,,,,,,2606132.52,21.305
1A2mii Fabricación de productos de hule,393462.77,287.838,433.529,,,,,,,,,,,,,,,,,,,,,,,,,394184.14,3.26
1A2miii Otras ramas,16935476.43,25144.42,34576.76,,,,,,,,,,,,,,,,,,,,,,,,,16995197.6,179.765
[1A3] Transporte,157919844.2,438733.17,2781894.94,,,,,,,,,,,,,,,,,,,,,,,,,161140472.31,16239.2
[1A3a] Aviación civil,4915797.77,947.782,35880.32,,,,,,,,,,,,,,,,,,,,,,,,,4952625.87,69.589
[1A3b] Autotransporte,149244500.76,429555.34,2554829.33,,,,,,,,,,,,,,,,,,,,,,,,,152228885.43,16045.38
[1A3c] Ferrocarriles,1694024.02,2702.04,176237.09,,,,,,,,,,,,,,,,,,,,,,,,,1872963.15,39.945
[1A3d] Navegación marítima y fluvial,2065521.66,5528.01,14948.2,,,,,,,,,,,,,,,,,,,,,,,,,2085997.87,84.285
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,33519139.32,305536.11,304577.22,,,,,,,,,,,,,,,,,,,,,,,,,34129252.65,33903.11
[1A4a] Comercial/institucional,4789472.29,10862.47,2409.48,,,,,,,,,,,,,,,,,,,,,,,,,4802744.24,2311.47
[1A4b] Residencial,20425436.96,263514.9,284839.02,,,,,,,,,,,,,,,,,,,,,,,,,20973790.88,31278.07
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,8304230.07,31158.74,17328.72,,,,,,,,,,,,,,,,,,,,,,,,,8352717.53,313.57
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,32903252.81,42261582.75,68958.85,,,,,,,,,,,,,,,,,,,,,,,,,75233794.4,15990.79
[1B1] Combustibles sólidos,180867.86,6361656.76,,,,,,,,,,,,,,,,,,,,,,,,,,6542524.62,
[1B1a] Minería carbonífera y manejo del carbón,180867.86,6361656.76,,,,,,,,,,,,,,,,,,,,,,,,,,6542524.62,
[1B1ai] Minas subterráneas,172250.34,6102066.83,,,,,,,,,,,,,,,,,,,,,,,,,,6274317.17,
