categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,6278600.06,23302.13,12833.04,,,,,,,,,,,,,,,,,,,,,,,,,6314735.23,323.36
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,19496806.7,25073417.26,32169.37,,,,,,,,,,,,,,,,,,,,,,,,,44602393.32,7327.26
[1B1] Combustibles sólidos,97471.2,3428350.12,,,,,,,,,,,,,,,,,,,,,,,,,,3525821.32,
[1B1a] Minería carbonífera y manejo del carbón,97471.2,3428350.12,,,,,,,,,,,,,,,,,,,,,,,,,,3525821.32,
[1B1ai] Minas subterráneas,92827.15,3288454.93,,,,,,,,,,,,,,,,,,,,,,,,,,3381282.08,
[1B1aii] Minas superficie,4644.05,139895.19,,,,,,,,,,,,,,,,,,,,,,,,,,144539.24,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,19399335.5,21645067.14,32169.37,,,,,,,,,,,,,,,,,,,,,,,,,41076572,7327.26
[1B2a] Petróleo,17084465.83,17602872.29,32127.79,,,,,,,,,,,,,,,,,,,,,,,,,34719465.91,
1B2ai Venteo petróleo,6051293.98,7485043.56,,,,,,,,,,,,,,,,,,,,,,,,,,13536337.53,
1B2aii Quemado petróleo,10977326.14,10058495.22,32127.79,,,,,,,,,,,,,,,,,,,,,,,,,21067949.15,7327.26
1B2aiii Otras fugitivas petróleo,55845.71,59333.51,,,,,,,,,,,,,,,,,,,,,,,,,,115179.22,
[1B2b] Gas natural,2314869.67,4042194.85,41.58,,,,,,,,,,,,,,,,,,,,,,,,,6357106.1,
1B2bi Venteo gas natural,2102954.67,1342116.71,,,,,,,,,,,,,,,,,,,,,,,,,,3445071.38,
1B2bii Quemado gas natural,208590.32,3892.72,41.58,,,,,,,,,,,,,,,,,,,,,,,,,212524.62,
1B2biii Otras fugitivas gas natural,3324.67,2696185.42,,,,,,,,,,,,,,,,,,,,,,,,,,2699510.09,
[2] Procesos industriales y uso de productos,46259107,223048.33,550691.92,1304436.06,0,0,0,0,599119.93,0,0,0,0,0,0,0,0,0,0.327,449177.7,119964.71,43.02,0,15.371,0,389.109,72047.89,49578041.35,
[2A] Industria de los minerales,26271927.19,,,,,,,,,,,,,,,,,,,,,,,,,,,26271927.19,
[2A1] Producción de cemento,14280958.18,,,,,,,,,,,,,,,,,,,,,,,,,,,14280958.18,
[2A2] Producción de cal,2490890.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2490890.1,
[2A3] Producción de vidrio,411202.87,,,,,,,,,,,,,,,,,,,,,,,,,,,411202.87,
[2A4] Otros usos de carbonatos,9088876.04,,,,,,,,,,,,,,,,,,,,,,,,,,,9088876.04,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
[2B] Industria química,3244707.78,223048.33,550648.8,1304336.16,,,,,,,,,,,,,,,,,,,,,,,,5322741.06,
[2B1] Producción de amoniaco,1105941.77,,,,,,,,,,,,,,,,,,,,,,,,,,,1105941.77,
[2B2] Producción de ácido nítrico,,,352526.85,,,,,,,,,,,,,,,,,,,,,,,,,352526.85,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,198121.95,,,,,,,,,,,,,,,,,,,,,,,,,198121.95,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
[2B6] Producción de dióxido de titanio,169747.18,,,,,,,,,,,,,,,,,,,,,,,,,,,169747.18,
[2B7] Producción de ceniza de sosa,40020,,,,,,,,,,,,,,,,,,,,,,,,,,,40020,
[2B8] Producción petroquímica y negro de humo,1928998.83,223048.33,,,,,,,,,,,,,,,,,,,,,,,,,,2152047.15,
[2B9] Producción fluoroquímica,,,,1304336.16,,,,,,,,,,,,,,,,,,,,,,,,1304336.16,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
[2C] Industria de los metales,16470455.65,0,,,,,,,,,,,,,,,,,,448793.13,119750.09,,,,,,,17038998.88,
[2C1] Producción de hierro y acero,15971572.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,15971572.88,
[2C2] Producción de ferroaleaciones,268742.1,,,,,,,,,,,,,,,,,,,,,,,,,,,268742.1,
[2C3] Producción de aluminio,135382.54,,,,,,,,,,,,,,,,,,,448793.13,119750.09,,,,,,,703925.77,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C5] Producción de plomo,94758.13,,,,,,,,,,,,,,,,,,,,,,,,,,,94758.13,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,232820.56,,,,,,,,,,,,,,,,,,,,,,,,,,,232820.56,
