categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),418266742.92,133960122.85,32974195.17,1496952.56,429.619,0.0,0.0,0.0,974372.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.617,207580.65,55599.15,81.063,0.001,28.964,0.001,733.208,86433.31,588023273.06,81919.0
EMISIONES Sin UTCUTS,405888736.83,133496909.97,32782224.88,1496952.56,429.619,0.0,0.0,0.0,974372.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.617,207580.65,55599.15,81.063,0.001,28.964,0.001,733.208,86433.31,574990083.8,
EMISIONES NETAS (Emisiones + Absorciones),210837550.39,133960122.85,32974195.17,1496952.56,429.619,0.0,0.0,0.0,974372.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.617,207580.65,55599.15,81.063,0.001,28.964,0.001,733.208,86433.31,380594080.53,
[1] Energía,360899716.41,23457875.36,3365406.33,,,,,,,,,,,,,,,,,,,,,,,,,387722998.1,75401.79
[1A] Actividades de quema del combustible,345317129.53,948366.26,3344859.02,,,,,,,,,,,,,,,,,,,,,,,,,349610354.81,70824.93
[1A1] Industrias de la energía,155442034.34,143082.22,304879.03,,,,,,,,,,,,,,,,,,,,,,,,,155889995.59,16969.03
[1A1a] Actividad principal producción de electricidad y calor,124349315.9,123184.08,277027.65,,,,,,,,,,,,,,,,,,,,,,,,,124749527.64,15529.78
[1A1b] Refinación del petróleo,9205353.08,7233.34,11688.61,,,,,,,,,,,,,,,,,,,,,,,,,9224275.03,1133.97
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,21887365.36,12664.8,16162.77,,,,,,,,,,,,,,,,,,,,,,,,,21916192.93,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),986010.4,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,986015.33,
1A1cii Otras Industrias de la energía  ,20901354.96,12659.87,16162.77,,,,,,,,,,,,,,,,,,,,,,,,,20930177.6,305.281
[1A2] Industrias manufactura y de la construcción,42070998.92,78534.86,110588.38,,,,,,,,,,,,,,,,,,,,,,,,,42260122.16,1228.89
[1A2a] Hierro y acero,2370529.64,1674.44,2497.45,,,,,,,,,,,,,,,,,,,,,,,,,2374701.52,50.034
[1A2b] Metales no ferrosos,1232877.05,967.508,1553.13,,,,,,,,,,,,,,,,,,,,,,,,,1235397.68,18.324
[1A2c] Sustancias químicas,6081092.19,4487.0,6962.94,,,,,,,,,,,,,,,,,,,,,,,,,6092542.12,132.115
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,5922201.56,4404.71,6876.47,,,,,,,,,,,,,,,,,,,,,,,,,5933482.74,131.659
1A2ciii Fertilizantes,158890.63,82.288,86.465,,,,,,,,,,,,,,,,,,,,,,,,,159059.38,0.456
"[1A2d] Pulpa, papel e imprenta",2364912.04,1774.8,2775.0,,,,,,,,,,,,,,,,,,,,,,,,,2369461.84,59.883
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",3254376.77,42387.61,55256.33,,,,,,,,,,,,,,,,,,,,,,,,,3352020.71,651.144
1A2ei elaboración de azúcares,1850483.5,41180.29,53200.23,,,,,,,,,,,,,,,,,,,,,,,,,1944864.03,610.289
1A2eii elaboración de bebidas,401296.13,391.292,705.105,,,,,,,,,,,,,,,,,,,,,,,,,402392.53,8.466
1A2eiii elaboración de productos de tabaco,16463.33,9.209,10.862,,,,,,,,,,,,,,,,,,,,,,,,,16483.4,0.149
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,986133.81,806.818,1340.13,,,,,,,,,,,,,,,,,,,,,,,,,988280.76,32.24
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
