categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),461663016.78,137048246.27,33358254.86,2655519.45,1446.27,0.0,0.0,0.0,1728429.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.828,973.524,543.294,108.904,0.001,38.912,0.001,985.027,114306.1,636571869.23,75890.89
EMISIONES Sin UTCUTS,448056692.02,136460569.66,33115840.9,2655519.45,1446.27,0.0,0.0,0.0,1728429.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.828,973.524,543.294,108.904,0.001,38.912,0.001,985.027,114306.1,622135453.89,
EMISIONES NETAS (Emisiones + Absorciones),252270864.19,137048246.27,33358254.86,2655519.45,1446.27,0.0,0.0,0.0,1728429.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.828,973.524,543.294,108.904,0.001,38.912,0.001,985.027,114306.1,427179716.64,
[1] Energía,399072711.69,23685232.57,3668553.62,,,,,,,,,,,,,,,,,,,,,,,,,426426497.88,66261.96
[1A] Actividades de quema del combustible,385162739.92,995978.99,3653158.65,,,,,,,,,,,,,,,,,,,,,,,,,389811877.56,66261.96
[1A1] Industrias de la energía,169009729.89,144884.99,332341.17,,,,,,,,,,,,,,,,,,,,,,,,,169486956.05,13375.86
[1A1a] Actividad principal producción de electricidad y calor,133905542.95,122660.57,301613.48,,,,,,,,,,,,,,,,,,,,,,,,,134329817.0,11755.4
[1A1b] Refinación del petróleo,11153711.59,8606.96,13738.59,,,,,,,,,,,,,,,,,,,,,,,,,11176057.14,1315.18
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,23950475.35,13617.47,16989.09,,,,,,,,,,,,,,,,,,,,,,,,,23981081.91,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1002946.85,5.015,,,,,,,,,,,,,,,,,,,,,,,,,,1002951.86,
1A1cii Otras Industrias de la energía  ,22947528.5,13612.45,16989.09,,,,,,,,,,,,,,,,,,,,,,,,,22978130.05,305.281
[1A2] Industrias manufactura y de la construcción,49185989.33,100015.67,140461.98,,,,,,,,,,,,,,,,,,,,,,,,,49426466.98,1287.69
[1A2a] Hierro y acero,2858007.63,1866.67,2602.44,,,,,,,,,,,,,,,,,,,,,,,,,2862476.74,47.518
[1A2b] Metales no ferrosos,1300188.97,992.365,1563.26,,,,,,,,,,,,,,,,,,,,,,,,,1302744.59,18.2
[1A2c] Sustancias químicas,4939975.09,3491.17,5291.6,,,,,,,,,,,,,,,,,,,,,,,,,4948757.86,79.799
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,4727873.86,3382.78,5179.94,,,,,,,,,,,,,,,,,,,,,,,,,4736436.58,79.193
1A2ciii Fertilizantes,212101.23,108.387,111.66,,,,,,,,,,,,,,,,,,,,,,,,,212321.28,0.606
"[1A2d] Pulpa, papel e imprenta",2386201.06,1837.39,2925.37,,,,,,,,,,,,,,,,,,,,,,,,,2390963.82,64.381
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",3010640.68,47446.42,61502.89,,,,,,,,,,,,,,,,,,,,,,,,,3119589.99,706.463
1A2ei elaboración de azúcares,1480071.1,46086.32,59144.1,,,,,,,,,,,,,,,,,,,,,,,,,1585301.51,658.84
1A2eii elaboración de bebidas,447088.95,440.231,796.168,,,,,,,,,,,,,,,,,,,,,,,,,448325.35,9.211
