categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),412068186.55,131824620.42,32335200.53,969546.31,177.731,0.0,0.0,0.0,780399.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,273710.61,73194.88,62.041,0.001,22.168,0.0,561.159,76082.71,578401765.1,85529.02
EMISIONES Sin UTCUTS,405219524.15,131579672.97,32223737.12,969546.31,177.731,0.0,0.0,0.0,780399.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,273710.61,73194.88,62.041,0.001,22.168,0.0,561.159,76082.71,571196691.85,
EMISIONES NETAS (Emisiones + Absorciones),204379592.61,131824620.42,32335200.53,969546.31,177.731,0.0,0.0,0.0,780399.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,273710.61,73194.88,62.041,0.001,22.168,0.0,561.159,76082.71,370713171.16,
[1] Energía,358562345.76,24477223.27,3362547.41,,,,,,,,,,,,,,,,,,,,,,,,,386402116.43,79670.06
[1A] Actividades de quema del combustible,341207024.71,944888.31,3336860.43,,,,,,,,,,,,,,,,,,,,,,,,,345488773.45,73881.03
[1A1] Industrias de la energía,156109981.11,150602.38,316730.74,,,,,,,,,,,,,,,,,,,,,,,,,156577314.23,18902.15
[1A1a] Actividad principal producción de electricidad y calor,125179299.68,131353.82,290167.15,,,,,,,,,,,,,,,,,,,,,,,,,125600820.65,17495.18
[1A1b] Refinación del petróleo,9212541.78,7150.22,11458.58,,,,,,,,,,,,,,,,,,,,,,,,,9231150.59,1101.69
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,21718139.65,12098.34,15105.01,,,,,,,,,,,,,,,,,,,,,,,,,21745343.0,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1317533.06,6.588,,,,,,,,,,,,,,,,,,,,,,,,,,1317539.65,
1A1cii Otras Industrias de la energía  ,20400606.59,12091.75,15105.01,,,,,,,,,,,,,,,,,,,,,,,,,20427803.35,305.281
[1A2] Industrias manufactura y de la construcción,39885420.6,74133.41,105627.33,,,,,,,,,,,,,,,,,,,,,,,,,40065181.34,1367.31
[1A2a] Hierro y acero,3269636.88,2235.17,3245.69,,,,,,,,,,,,,,,,,,,,,,,,,3275117.74,63.339
[1A2b] Metales no ferrosos,1279410.29,1022.27,1660.53,,,,,,,,,,,,,,,,,,,,,,,,,1282093.09,20.517
[1A2c] Sustancias químicas,7794220.54,5515.72,8269.08,,,,,,,,,,,,,,,,,,,,,,,,,7808005.34,155.699
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,7532178.9,5384.2,8137.3,,,,,,,,,,,,,,,,,,,,,,,,,7545700.4,154.957
1A2ciii Fertilizantes,262041.64,131.516,131.785,,,,,,,,,,,,,,,,,,,,,,,,,262304.94,0.742
"[1A2d] Pulpa, papel e imprenta",2597122.04,1972.66,3111.16,,,,,,,,,,,,,,,,,,,,,,,,,2602205.86,68.086
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",3670872.84,41484.11,54303.58,,,,,,,,,,,,,,,,,,,,,,,,,3766660.53,651.372
1A2ei elaboración de azúcares,2198055.42,40267.48,52280.17,,,,,,,,,,,,,,,,,,,,,,,,,2290603.07,612.662
1A2eii elaboración de bebidas,544519.1,471.88,800.614,,,,,,,,,,,,,,,,,,,,,,,,,545791.59,9.674
1A2eiii elaboración de productos de tabaco,19836.21,14.21,21.478,,,,,,,,,,,,,,,,,,,,,,,,,19871.9,0.463
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,908462.11,730.539,1201.32,,,,,,,,,,,,,,,,,,,,,,,,,910393.97,28.573
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,220623.33,103.349,101.072,,,,,,,,,,,,,,,,,,,,,,,,,220827.75,0.553
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,7629561.47,8328.1,14487.95,,,,,,,,,,,,,,,,,,,,,,,,,7652377.52,125.169
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,438561.64,505.68,957.18,,,,,,,,,,,,,,,,,,,,,,,,,440024.5,1.943
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,12985411.58,12966.35,19491.08,,,,,,,,,,,,,,,,,,,,,,,,,13017869.01,280.627
1A2mi Fabricación de vidrio y productos de vidrio,2244283.77,1230.3,1413.07,,,,,,,,,,,,,,,,,,,,,,,,,2246927.15,18.667
1A2mii Fabricación de productos de hule,461847.9,304.018,422.007,,,,,,,,,,,,,,,,,,,,,,,,,462573.93,4.071
1A2miii Otras ramas,10279279.9,11432.03,17656.01,,,,,,,,,,,,,,,,,,,,,,,,,10308367.93,257.888
[1A3] Transporte,115059206.94,421548.75,2609669.6,,,,,,,,,,,,,,,,,,,,,,,,,118090425.29,19113.04
[1A3a] Aviación civil,5583910.7,1076.6,40756.82,,,,,,,,,,,,,,,,,,,,,,,,,5625744.12,79.044
[1A3b] Autotransporte,104887579.66,409870.53,2389547.46,,,,,,,,,,,,,,,,,,,,,,,,,107686997.65,18820.81
[1A3c] Ferrocarriles,1511185.7,2410.4,157215.59,,,,,,,,,,,,,,,,,,,,,,,,,1670811.69,35.634
[1A3d] Navegación marítima y fluvial,3076530.89,8191.22,22149.73,,,,,,,,,,,,,,,,,,,,,,,,,3106871.83,177.551
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,30152416.06,298603.77,304832.76,,,,,,,,,,,,,,,,,,,,,,,,,30755852.59,34498.54
[1A4a] Comercial/institucional,4633221.56,10352.92,2193.37,,,,,,,,,,,,,,,,,,,,,,,,,4645767.85,2340.3
[1A4b] Residencial,19991330.14,267918.14,291532.94,,,,,,,,,,,,,,,,,,,,,,,,,20550781.22,31811.88
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,5527864.36,20332.71,11106.45,,,,,,,,,,,,,,,,,,,,,,,,,5559303.52,346.36
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,17355321.05,23532334.96,25686.98,,,,,,,,,,,,,,,,,,,,,,,,,40913342.98,5789.03
[1B1] Combustibles sólidos,83076.01,2922028.38,,,,,,,,,,,,,,,,,,,,,,,,,,3005104.39,
[1B1a] Minería carbonífera y manejo del carbón,83076.01,2922028.38,,,,,,,,,,,,,,,,,,,,,,,,,,3005104.39,
[1B1ai] Minas subterráneas,79117.82,2802793.85,,,,,,,,,,,,,,,,,,,,,,,,,,2881911.67,
[1B1aii] Minas superficie,3958.19,119234.53,,,,,,,,,,,,,,,,,,,,,,,,,,123192.72,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,17272245.04,20610306.58,25686.98,,,,,,,,,,,,,,,,,,,,,,,,,37908238.59,5789.03
[1B2a] Petróleo,15002289.52,16205017.41,25647.31,,,,,,,,,,,,,,,,,,,,,,,,,31232954.24,
1B2ai Venteo petróleo,6227487.36,8237069.22,,,,,,,,,,,,,,,,,,,,,,,,,,14464556.57,
1B2aii Quemado petróleo,8712129.03,7907596.68,25647.31,,,,,,,,,,,,,,,,,,,,,,,,,16645373.01,5789.03
1B2aiii Otras fugitivas petróleo,62673.13,60351.52,,,,,,,,,,,,,,,,,,,,,,,,,,123024.65,
[1B2b] Gas natural,2269955.52,4405289.17,39.67,,,,,,,,,,,,,,,,,,,,,,,,,6675284.36,
1B2bi Venteo gas natural,2101622.25,1447522.44,,,,,,,,,,,,,,,,,,,,,,,,,,3549144.69,
1B2bii Quemado gas natural,164800.91,3075.1,39.67,,,,,,,,,,,,,,,,,,,,,,,,,167915.69,
1B2biii Otras fugitivas gas natural,3532.35,2954691.63,,,,,,,,,,,,,,,,,,,,,,,,,,2958223.98,
