categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),503222626.29,160748207.65,38940883.91,2788160.21,465280.96,27214.06,8669.93,4386.28,5702656.29,6637771.02,136488.99,464025.04,315089.95,12144.9,35115.95,248.779,262.426,1143939.41,1.22,19252.43,1990.19,160.36,0.002,57.4,0.001,1674.64,185862.47,720862170.76,73478.6
EMISIONES Sin UTCUTS,481887821.87,160569990.89,38845281.71,2788160.21,465280.96,27214.06,8669.93,4386.28,5702656.29,6637771.02,136488.99,464025.04,315089.95,12144.9,35115.95,248.779,262.426,1143939.41,1.22,19252.43,1990.19,160.36,0.002,57.4,0.001,1674.64,185862.47,699253547.38,
EMISIONES NETAS (Emisiones + Absorciones),297816870.17,160748207.65,38940883.91,2788160.21,465280.96,27214.06,8669.93,4386.28,5702656.29,6637771.02,136488.99,464025.04,315089.95,12144.9,35115.95,248.779,262.426,1143939.41,1.22,19252.43,1990.19,160.36,0.002,57.4,0.001,1674.64,185862.47,515456414.64,
[1] Energía,429319286.63,28156618.18,3006446.1,,,,,,,,,,,,,,,,,,,,,,,,,460482350.91,66679.01
[1A] Actividades de quema del combustible,411734972.17,1060932.02,2983758.26,,,,,,,,,,,,,,,,,,,,,,,,,415779662.45,62082.36
[1A1] Industrias de la energía,158105878.43,141904.27,287216.41,,,,,,,,,,,,,,,,,,,,,,,,,158534999.11,8290.86
[1A1a] Actividad principal producción de electricidad y calor,143414329.13,132553.05,287216.41,,,,,,,,,,,,,,,,,,,,,,,,,143834098.59,6786.77
[1A1b] Refinación del petróleo,13454585.74,9345.03,,,,,,,,,,,,,,,,,,,,,,,,,,13463930.77,1198.81
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,1236963.57,6.185,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1236969.75,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1236963.57,6.185,,,,,,,,,,,,,,,,,,,,,,,,,,1236969.75,
1A1cii Otras Industrias de la energía  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,305.281
[1A2] Industrias manufactura y de la construcción,58531961.25,100642.82,133470.04,,,,,,,,,,,,,,,,,,,,,,,,,58766074.11,790.604
[1A2a] Hierro y acero,2783906.69,1454.73,1557.87,,,,,,,,,,,,,,,,,,,,,,,,,2786919.29,15.217
[1A2b] Metales no ferrosos,1336085.52,876.353,1262.03,,,,,,,,,,,,,,,,,,,,,,,,,1338223.9,12.729
[1A2c] Sustancias químicas,5080169.93,2756.47,3102.85,,,,,,,,,,,,,,,,,,,,,,,,,5086029.25,22.216
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,5040518.13,2730.11,3066.23,,,,,,,,,,,,,,,,,,,,,,,,,5046314.46,22.088
1A2ciii Fertilizantes,39651.8,26.367,36.621,,,,,,,,,,,,,,,,,,,,,,,,,39714.78,0.128
"[1A2d] Pulpa, papel e imprenta",1997306.11,1080.09,1212.77,,,,,,,,,,,,,,,,,,,,,,,,,1999598.98,9.978
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",576286.9,34471.43,43765.91,,,,,,,,,,,,,,,,,,,,,,,,,654524.24,449.755
1A2ei elaboración de azúcares,0.0,33936.17,42824.21,,,,,,,,,,,,,,,,,,,,,,,,,76760.37,440.766
1A2eii elaboración de bebidas,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1A2eiii elaboración de productos de tabaco,472620.73,425.594,734.104,,,,,,,,,,,,,,,,,,,,,,,,,473780.42,3.367
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,103666.18,109.673,207.596,,,,,,,,,,,,,,,,,,,,,,,,,103983.45,5.622
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,432237.75,252.685,313.204,,,,,,,,,,,,,,,,,,,,,,,,,432803.64,1.291
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,7846485.57,9347.92,15446.46,,,,,,,,,,,,,,,,,,,,,,,,,7871279.95,45.259
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,298929.15,344.678,652.426,,,,,,,,,,,,,,,,,,,,,,,,,299926.25,1.325
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,38180553.63,50058.46,66156.51,,,,,,,,,,,,,,,,,,,,,,,,,38296768.61,232.834
1A2mi Fabricación de vidrio y productos de vidrio,3204851.85,1630.66,1677.87,,,,,,,,,,,,,,,,,,,,,,,,,3208160.38,15.283
1A2mii Fabricación de productos de hule,521175.93,374.574,556.171,,,,,,,,,,,,,,,,,,,,,,,,,522106.67,3.639
1A2miii Otras ramas,34454525.86,48053.23,63922.47,,,,,,,,,,,,,,,,,,,,,,,,,34566501.56,213.912
[1A3] Transporte,161197239.69,451802.84,2182894.79,,,,,,,,,,,,,,,,,,,,,,,,,163831937.32,14340.67
[1A3a] Aviación civil,5442838.53,1049.38,39726.55,,,,,,,,,,,,,,,,,,,,,,,,,5483614.46,76.999
[1A3b] Autotransporte,151655270.4,441852.36,1926304.62,,,,,,,,,,,,,,,,,,,,,,,,,154023427.38,14155.3
[1A3c] Ferrocarriles,1933328.34,3083.74,201133.02,,,,,,,,,,,,,,,,,,,,,,,,,2137545.1,45.59
[1A3d] Navegación marítima y fluvial,2165802.42,5817.36,15730.6,,,,,,,,,,,,,,,,,,,,,,,,,2187350.38,62.78
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,33899892.81,366582.09,380177.02,,,,,,,,,,,,,,,,,,,,,,,,,34646651.92,38660.23
[1A4a] Comercial/institucional,5324332.42,12225.7,2792.83,,,,,,,,,,,,,,,,,,,,,,,,,5339350.95,2430.12
[1A4b] Residencial,19520812.01,320237.97,358338.58,,,,,,,,,,,,,,,,,,,,,,,,,20199388.56,35936.63
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,9054748.38,34118.42,19045.61,,,,,,,,,,,,,,,,,,,,,,,,,9107912.41,293.48
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,17584314.46,27095686.16,22687.84,,,,,,,,,,,,,,,,,,,,,,,,,44702688.46,4596.65
[1B1] Combustibles sólidos,123948.83,4359646.19,,,,,,,,,,,,,,,,,,,,,,,,,,4483595.02,
[1B1a] Minería carbonífera y manejo del carbón,123948.83,4359646.19,,,,,,,,,,,,,,,,,,,,,,,,,,4483595.02,
[1B1ai] Minas subterráneas,118043.24,4181749.09,,,,,,,,,,,,,,,,,,,,,,,,,,4299792.33,
[1B1aii] Minas superficie,5905.59,177897.1,,,,,,,,,,,,,,,,,,,,,,,,,,183802.69,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,17460365.63,22736039.97,22687.84,,,,,,,,,,,,,,,,,,,,,,,,,40219093.44,4596.65
[1B2a] Petróleo,14925221.1,15640918.36,22601.36,,,,,,,,,,,,,,,,,,,,,,,,,30588740.82,
1B2ai Venteo petróleo,5569205.67,5512714.2,,,,,,,,,,,,,,,,,,,,,,,,,,11081919.87,
