categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),379073872.4,130578058.69,31725709.83,1668588.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351952.22,93910.33,0,0,0,0,0,65246.11,543557337.73,90050.38
EMISIONES Sin UTCUTS,372350023.18,130355830.7,31632238.41,1668588.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351952.22,93910.33,0,0,0,0,0,65246.11,536517789.1,
EMISIONES NETAS (Emisiones + Absorciones),175777401.16,130578058.69,31725709.83,1668588.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351952.22,93910.33,0,0,0,0,0,65246.11,340260866.49,
[1] Energía,330778896.42,26968318.09,3301924.3,,,,,,,,,,,,,,,,,,,,,,,,,361049138.81,84466.26
[1A] Actividades de quema del combustible,308046790.71,912606.62,3260275.97,,,,,,,,,,,,,,,,,,,,,,,,,312219673.3,74907.96
[1A1] Industrias de la energía,126402229.02,115187.69,251866.01,,,,,,,,,,,,,,,,,,,,,,,,,126769282.72,16677.2
[1A1a] Actividad principal producción de electricidad y calor,96440947.05,94647.16,221176.59,,,,,,,,,,,,,,,,,,,,,,,,,96756770.79,14843.83
[1A1b] Refinación del petróleo,9867119.62,8589.83,14782.7,,,,,,,,,,,,,,,,,,,,,,,,,9890492.16,1528.08
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,20094162.35,11950.7,15906.72,,,,,,,,,,,,,,,,,,,,,,,,,20122019.77,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1138148.03,5.691,,,,,,,,,,,,,,,,,,,,,,,,,,1138153.72,
1A1cii Otras Industrias de la energía  ,18956014.32,11945.01,15906.72,,,,,,,,,,,,,,,,,,,,,,,,,18983866.05,305.281
[1A2] Industrias manufactura y de la construcción,44693803.8,100401.82,141654.9,,,,,,,,,,,,,,,,,,,,,,,,,44935860.52,1944.76
[1A2a] Hierro y acero,5739148.11,3932.08,5726.66,,,,,,,,,,,,,,,,,,,,,,,,,5748806.86,114.673
[1A2b] Metales no ferrosos,2678382.54,1802.9,2575.17,,,,,,,,,,,,,,,,,,,,,,,,,2682760.61,33.802
[1A2c] Sustancias químicas,9052005.37,6920.73,10979.27,,,,,,,,,,,,,,,,,,,,,,,,,9069905.37,227.064
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,8277457.63,6388.25,10201.52,,,,,,,,,,,,,,,,,,,,,,,,,8294047.4,211.149
1A2ciii Fertilizantes,774547.74,532.478,777.75,,,,,,,,,,,,,,,,,,,,,,,,,775857.97,15.915
"[1A2d] Pulpa, papel e imprenta",2371074.98,1899.4,3088.96,,,,,,,,,,,,,,,,,,,,,,,,,2376063.33,58.619
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",4257878.4,4163.32,7596.49,,,,,,,,,,,,,,,,,,,,,,,,,4269638.22,189.049
1A2ei elaboración de azúcares,2942144.26,3110.86,5888.41,,,,,,,,,,,,,,,,,,,,,,,,,2951143.52,160.482
1A2eii elaboración de bebidas,440328.43,393.399,676.014,,,,,,,,,,,,,,,,,,,,,,,,,441397.85,6.51
1A2eiii elaboración de productos de tabaco,21839.23,13.511,17.875,,,,,,,,,,,,,,,,,,,,,,,,,21870.62,0.308
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,853566.48,645.557,1014.2,,,,,,,,,,,,,,,,,,,,,,,,,855226.24,21.749
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,275416.39,141.854,155.322,,,,,,,,,,,,,,,,,,,,,,,,,275713.57,0.745
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,7229079.9,7125.05,13192.46,,,,,,,,,,,,,,,,,,,,,,,,,7249397.4,196.925
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,357478.73,412.188,780.213,,,,,,,,,,,,,,,,,,,,,,,,,358671.13,1.584
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,12733339.37,74004.3,97560.35,,,,,,,,,,,,,,,,,,,,,,,,,12904904.03,1122.3
1A2mi Fabricación de vidrio y productos de vidrio,1817291.04,1059.63,1305.76,,,,,,,,,,,,,,,,,,,,,,,,,1819656.43,13.67
1A2mii Fabricación de productos de hule,293972.59,215.206,325.471,,,,,,,,,,,,,,,,,,,,,,,,,294513.27,3.345
1A2miii Otras ramas,10622075.74,72729.47,95929.12,,,,,,,,,,,,,,,,,,,,,,,,,10790734.33,1105.29
[1A3] Transporte,105645492.99,382896.3,2545248.67,,,,,,,,,,,,,,,,,,,,,,,,,108573637.95,20375.46
[1A3a] Aviación civil,4675721.49,901.499,34128.17,,,,,,,,,,,,,,,,,,,,,,,,,4710751.16,66.204
[1A3b] Autotransporte,97006483.84,373582.71,2286187.28,,,,,,,,,,,,,,,,,,,,,,,,,99666253.83,20179.22
[1A3c] Ferrocarriles,2027509.78,3233.96,210931.15,,,,,,,,,,,,,,,,,,,,,,,,,2241674.89,47.809
[1A3d] Navegación marítima y fluvial,1935777.88,5178.12,14002.07,,,,,,,,,,,,,,,,,,,,,,,,,1954958.08,82.229
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,31305264.91,314120.81,321506.4,,,,,,,,,,,,,,,,,,,,,,,,,31940892.12,35910.54
[1A4a] Comercial/institucional,4137178.52,9236.71,1942.04,,,,,,,,,,,,,,,,,,,,,,,,,4148357.27,2075.27
[1A4b] Residencial,21398407.71,282820.8,307096.67,,,,,,,,,,,,,,,,,,,,,,,,,21988325.18,33752.15
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,5769678.68,22063.3,12467.69,,,,,,,,,,,,,,,,,,,,,,,,,5804209.67,83.12
