categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),316542925.34,115883006.65,29886746.36,760635.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345534.38,92197.88,0,0,0,0,0,36517.12,463547563.57,77827.85
EMISIONES Sin UTCUTS,309170220.89,115695405.7,29810769.99,760635.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345534.38,92197.88,0,0,0,0,0,36517.12,455911281.8,
EMISIONES NETAS (Emisiones + Absorciones),110082487.94,115883006.65,29886746.36,760635.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345534.38,92197.88,0,0,0,0,0,36517.12,257087126.17,
[1] Energía,277798043.51,13662260.83,2879840.59,,,,,,,,,,,,,,,,,,,,,,,,,294340144.93,72888.94
[1A] Actividades de quema del combustible,267366347.17,837890.58,2873055.95,,,,,,,,,,,,,,,,,,,,,,,,,271077293.69,71017.65
[1A1] Industrias de la energía,107765121.74,92051.44,187539.9,,,,,,,,,,,,,,,,,,,,,,,,,108044713.08,14152.48
[1A1a] Actividad principal producción de electricidad y calor,70302750.58,62745.18,139850.24,,,,,,,,,,,,,,,,,,,,,,,,,70505346,11656.35
[1A1b] Refinación del petróleo,11550924.75,11131.44,20203.82,,,,,,,,,,,,,,,,,,,,,,,,,11582260.01,2190.85
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,25911446.41,18174.82,27485.84,,,,,,,,,,,,,,,,,,,,,,,,,25957107.07,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1192341.16,5.962,,,,,,,,,,,,,,,,,,,,,,,,,,1192347.13,
1A1cii Otras Industrias de la energía  ,24719105.25,18168.85,27485.84,,,,,,,,,,,,,,,,,,,,,,,,,24764759.95,305.281
[1A2] Industrias manufactura y de la construcción,40496664.15,96369.62,135635.88,,,,,,,,,,,,,,,,,,,,,,,,,40728669.64,1887.77
[1A2a] Hierro y acero,5050957.29,3683.58,5648.17,,,,,,,,,,,,,,,,,,,,,,,,,5060289.04,122.834
[1A2b] Metales no ferrosos,2105775.92,1876.28,2920.58,,,,,,,,,,,,,,,,,,,,,,,,,2110572.78,38.763
[1A2c] Sustancias químicas,6625983.53,4999.46,7847.55,,,,,,,,,,,,,,,,,,,,,,,,,6638830.54,173.29
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,5885939.23,4531.91,7215.69,,,,,,,,,,,,,,,,,,,,,,,,,5897686.83,161.961
1A2ciii Fertilizantes,740044.3,467.544,631.866,,,,,,,,,,,,,,,,,,,,,,,,,741143.71,11.328
"[1A2d] Pulpa, papel e imprenta",3347000.44,3060.51,5408.52,,,,,,,,,,,,,,,,,,,,,,,,,3355469.46,137.258
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",4031010.05,4072.71,7551.92,,,,,,,,,,,,,,,,,,,,,,,,,4042634.68,195.382
1A2ei elaboración de azúcares,2938264.06,3106.82,5880.77,,,,,,,,,,,,,,,,,,,,,,,,,2947251.66,160.233
1A2eii elaboración de bebidas,336034.94,290.08,493.006,,,,,,,,,,,,,,,,,,,,,,,,,336818.03,6.705
1A2eiii elaboración de productos de tabaco,17096.9,9.744,11.766,,,,,,,,,,,,,,,,,,,,,,,,,17118.41,0.179
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,739614.14,666.064,1166.37,,,,,,,,,,,,,,,,,,,,,,,,,741446.57,28.264
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,198395.26,107.072,126.061,,,,,,,,,,,,,,,,,,,,,,,,,198628.4,0.765
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,6605825.21,6646.39,12304.67,,,,,,,,,,,,,,,,,,,,,,,,,6624776.26,195.576
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,341888.66,394.212,746.187,,,,,,,,,,,,,,,,,,,,,,,,,343029.06,1.515
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,12189827.79,71529.41,93082.23,,,,,,,,,,,,,,,,,,,,,,,,,12354439.43,1022.39
