categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),400984840.4,135362904.26,31728675.74,1312214.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,357275.99,95343.81,4.976,0.0,1.778,0.0,45.01,66591.7,569907897.97,101258.07
EMISIONES Sin UTCUTS,394282149.49,133587972.21,30963898.9,1312214.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,357275.99,95343.81,4.976,0.0,1.778,0.0,45.01,66591.7,560665498.18,
EMISIONES NETAS (Emisiones + Absorciones),197481832.23,135362904.26,31728675.74,1312214.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,357275.99,95343.81,4.976,0.0,1.778,0.0,45.01,66591.7,366404889.8,
[1] Energía,351853927.37,28846637.91,3368966.25,,,,,,,,,,,,,,,,,,,,,,,,,384069531.52,88255.57
[1A] Actividades de quema del combustible,327501786.97,942628.83,3323479.99,,,,,,,,,,,,,,,,,,,,,,,,,331767895.79,77800.94
[1A1] Industrias de la energía,140632910.18,131920.74,281448.4,,,,,,,,,,,,,,,,,,,,,,,,,141046279.32,18198.62
[1A1a] Actividad principal producción de electricidad y calor,105871443.89,106561.62,242073.76,,,,,,,,,,,,,,,,,,,,,,,,,106220079.27,16325.06
[1A1b] Refinación del petróleo,10384294.66,8933.3,15269.87,,,,,,,,,,,,,,,,,,,,,,,,,10408497.82,1568.28
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,24377171.63,16425.82,24104.77,,,,,,,,,,,,,,,,,,,,,,,,,24417702.22,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1171760.86,5.859,,,,,,,,,,,,,,,,,,,,,,,,,,1171766.72,
1A1cii Otras Industrias de la energía  ,23205410.77,16419.96,24104.77,,,,,,,,,,,,,,,,,,,,,,,,,23245935.5,305.281
[1A2] Industrias manufactura y de la construcción,45650150.3,99323.9,140246.91,,,,,,,,,,,,,,,,,,,,,,,,,45889721.12,1914.36
[1A2a] Hierro y acero,4709019.64,3432.31,5253.03,,,,,,,,,,,,,,,,,,,,,,,,,4717704.99,111.765
[1A2b] Metales no ferrosos,2835518.74,1917.3,2749.26,,,,,,,,,,,,,,,,,,,,,,,,,2840185.3,36.235
[1A2c] Sustancias químicas,9134884.25,7028.56,11200.97,,,,,,,,,,,,,,,,,,,,,,,,,9153113.79,232.297
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,8486351.15,6580.56,10543.96,,,,,,,,,,,,,,,,,,,,,,,,,8503475.66,218.781
1A2ciii Fertilizantes,648533.11,448.002,657.017,,,,,,,,,,,,,,,,,,,,,,,,,649638.13,13.516
"[1A2d] Pulpa, papel e imprenta",2581939.16,2095.12,3435.18,,,,,,,,,,,,,,,,,,,,,,,,,2587469.46,65.69
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",4770931.36,4681.96,8558.22,,,,,,,,,,,,,,,,,,,,,,,,,4784171.54,214.03
1A2ei elaboración de azúcares,3350167.95,3542.28,6705.03,,,,,,,,,,,,,,,,,,,,,,,,,3360415.26,182.736
1A2eii elaboración de bebidas,464457.29,416.215,716.369,,,,,,,,,,,,,,,,,,,,,,,,,465589.87,6.904
1A2eiii elaboración de productos de tabaco,23530.6,14.604,19.387,,,,,,,,,,,,,,,,,,,,,,,,,23564.59,0.338
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,932775.53,708.859,1117.44,,,,,,,,,,,,,,,,,,,,,,,,,934601.83,24.052
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,294009.11,151.552,166.249,,,,,,,,,,,,,,,,,,,,,,,,,294326.91,0.795
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,8069285.87,7908.17,14648.36,,,,,,,,,,,,,,,,,,,,,,,,,8091842.39,213.122
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,373943.0,431.172,816.147,,,,,,,,,,,,,,,,,,,,,,,,,375190.32,1.657
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,12880619.17,71677.77,93419.48,,,,,,,,,,,,,,,,,,,,,,,,,13045716.43,1038.77
1A2mi Fabricación de vidrio y productos de vidrio,1786042.92,1045.18,1293.28,,,,,,,,,,,,,,,,,,,,,,,,,1788381.38,13.616
1A2mii Fabricación de productos de hule,311903.09,229.499,348.379,,,,,,,,,,,,,,,,,,,,,,,,,312480.97,3.589
1A2miii Otras ramas,10782673.17,70403.09,91777.82,,,,,,,,,,,,,,,,,,,,,,,,,10944854.08,1021.56
[1A3] Transporte,108862873.35,394036.17,2578596.56,,,,,,,,,,,,,,,,,,,,,,,,,111835506.08,21033.41
[1A3a] Aviación civil,5026363.32,969.101,36687.41,,,,,,,,,,,,,,,,,,,,,,,,,5064019.83,71.161
[1A3b] Autotransporte,99693746.94,383822.97,2348056.93,,,,,,,,,,,,,,,,,,,,,,,,,102425626.84,20807.24
[1A3c] Ferrocarriles,1693270.45,2700.84,176158.7,,,,,,,,,,,,,,,,,,,,,,,,,1872129.98,39.927
[1A3d] Navegación marítima y fluvial,2449492.64,6543.26,17693.52,,,,,,,,,,,,,,,,,,,,,,,,,2473729.42,115.074
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,32355853.14,317348.02,323188.12,,,,,,,,,,,,,,,,,,,,,,,,,32996389.28,36654.55
[1A4a] Comercial/institucional,4419091.44,10039.96,2264.96,,,,,,,,,,,,,,,,,,,,,,,,,4431396.36,2175.0
[1A4b] Residencial,22214163.05,285451.82,308578.61,,,,,,,,,,,,,,,,,,,,,,,,,22808193.48,34392.82
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,5722598.65,21856.24,12344.55,,,,,,,,,,,,,,,,,,,,,,,,,5756799.44,86.73
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,24352140.4,27904009.08,45486.26,,,,,,,,,,,,,,,,,,,,,,,,,52301635.73,10454.64
[1B1] Combustibles sólidos,84522.35,2972900.52,,,,,,,,,,,,,,,,,,,,,,,,,,3057422.87,
[1B1a] Minería carbonífera y manejo del carbón,84522.35,2972900.52,,,,,,,,,,,,,,,,,,,,,,,,,,3057422.87,
[1B1ai] Minas subterráneas,80495.25,2851590.13,,,,,,,,,,,,,,,,,,,,,,,,,,2932085.38,
[1B1aii] Minas superficie,4027.1,121310.39,,,,,,,,,,,,,,,,,,,,,,,,,,125337.49,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,24267618.05,24931108.56,45486.26,,,,,,,,,,,,,,,,,,,,,,,,,49244212.86,10454.64
[1B2a] Petróleo,21898392.51,21640943.54,45452.57,,,,,,,,,,,,,,,,,,,,,,,,,43584788.62,
1B2ai Venteo petróleo,6264316.75,7146651.88,,,,,,,,,,,,,,,,,,,,,,,,,,13410968.63,
1B2aii Quemado petróleo,15581991.36,14432218.67,45452.57,,,,,,,,,,,,,,,,,,,,,,,,,30059662.6,10454.64
1B2aiii Otras fugitivas petróleo,52084.4,62072.99,,,,,,,,,,,,,,,,,,,,,,,,,,114157.39,
[1B2b] Gas natural,2369225.54,3290165.02,33.69,,,,,,,,,,,,,,,,,,,,,,,,,5659424.24,
1B2bi Venteo gas natural,2069145.96,1219450.2,,,,,,,,,,,,,,,,,,,,,,,,,,3288596.16,
1B2bii Quemado gas natural,297619.12,5554.72,33.69,,,,,,,,,,,,,,,,,,,,,,,,,303207.53,
1B2biii Otras fugitivas gas natural,2460.46,2065160.09,,,,,,,,,,,,,,,,,,,,,,,,,,2067620.55,
[2] Procesos industriales y uso de productos,40961072.46,240549.72,1188319.31,1312214.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,357275.99,95343.81,4.976,0.0,1.778,0.0,45.01,66591.7,44221419.07,
[2A] Industria de los minerales,20478386.11,,,,,,,,,,,,,,,,,,,,,,,,,,,20478386.11,
[2A1] Producción de cemento,13206471.57,,,,,,,,,,,,,,,,,,,,,,,,,,,13206471.57,
[2A2] Producción de cal,2410172.56,,,,,,,,,,,,,,,,,,,,,,,,,,,2410172.56,
[2A3] Producción de vidrio,485623.86,,,,,,,,,,,,,,,,,,,,,,,,,,,485623.86,
[2A4] Otros usos de carbonatos,4376118.12,,,,,,,,,,,,,,,,,,,,,,,,,,,4376118.12,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2B] Industria química,4435992.17,240549.72,1188314.33,1312202.72,,,,,,,,,,,,,,,,,,,,,,,,7177058.93,
[2B1] Producción de amoniaco,2180357.63,,,,,,,,,,,,,,,,,,,,,,,,,,,2180357.63,
[2B2] Producción de ácido nítrico,,,992160.0,,,,,,,,,,,,,,,,,,,,,,,,,992160.0,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,196154.33,,,,,,,,,,,,,,,,,,,,,,,,,196154.33,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2B6] Producción de dióxido de titanio,149210.34,,,,,,,,,,,,,,,,,,,,,,,,,,,149210.34,
[2B7] Producción de ceniza de sosa,40020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40020.0,
[2B8] Producción petroquímica y negro de humo,2066404.2,240549.72,,,,,,,,,,,,,,,,,,,,,,,,,,2306953.92,
[2B9] Producción fluoroquímica,,,,1312202.72,,,,,,,,,,,,,,,,,,,,,,,,1312202.72,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2C] Industria de los metales,15740000.95,0.0,,,,,,,,,,,,,,,,,,357231.51,95318.98,,,,,,,16192551.45,
[2C1] Producción de hierro y acero,15171029.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,15171029.02,
[2C2] Producción de ferroaleaciones,359959.3,,,,,,,,,,,,,,,,,,,,,,,,,,,359959.3,
[2C3] Producción de aluminio,107762.14,,,,,,,,,,,,,,,,,,,357231.51,95318.98,,,,,,,560312.64,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C5] Producción de plomo,101250.49,,,,,,,,,,,,,,,,,,,,,,,,,,,101250.49,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,229050.52,,,,,,,,,,,,,,,,,,,,,,,,,,,229050.52,
[2D1] Uso de lubricantes,173435.95,,,,,,,,,,,,,,,,,,,,,,,,,,,173435.95,
[2D2] Uso de la cera de parafina,55614.57,,,,,,,,,,,,,,,,,,,,,,,,,,,55614.57,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2E] Industria electrónica,,,4.988,11.555,,,,,,,,,,,,,,,0.038,44.484,24.825,4.976,0.0,1.778,0.0,45.01,21.899,159.554,
[2E1] Circuitos integrados o semiconductores,,,4.988,11.555,,,,,,,,,,,,,,,0.038,44.484,24.825,4.976,0.0,1.778,0.0,45.01,21.899,159.554,
[2E2] Pantalla plana tipo TFT,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
[2F1] Refrigeración y aire acondicionado,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G] Manufactura y utilización de otros productos,,,,,,,,,,,,,,,,,,,,,,,,,,,66569.8,66569.8,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,66569.8,66569.8,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2H] Otros,77642.71,,,,,,,,,,,,,,,,,,,,,,,,,,,77642.71,
[2H1] Industria de la pulpa y el papel,77642.71,,,,,,,,,,,,,,,,,,,,,,,,,,,77642.71,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3] Agricultura,990507.28,82672337.77,20794581.71,,,,,,,,,,,,,,,,,,,,,,,,,104457426.76,3300.96
[3A] Fermentación entérica,,67172497.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,67172497.0,
[3A1] Bovino,,62685749.0,,,,,,,,,,,,,,,,,,,,,,,,,,62685749.0,
[3A2] Ovinos,,1088906.0,,,,,,,,,,,,,,,,,,,,,,,,,,1088906.0,
[3A3] Porcinos,,336276.0,,,,,,,,,,,,,,,,,,,,,,,,,,336276.0,
[3A4a] Búfalos,,44850.0,,,,,,,,,,,,,,,,,,,,,,,,,,44850.0,
[3A4b] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3A4d] Caprino,,1442769.0,,,,,,,,,,,,,,,,,,,,,,,,,,1442769.0,
[3A4e] Caballos,,1116350.0,,,,,,,,,,,,,,,,,,,,,,,,,,1116350.0,
[3A4f] Mulas y asnos,,457597.0,,,,,,,,,,,,,,,,,,,,,,,,,,457597.0,
[3A4h] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3B] Gestión del estiércol,,14658412.0,5870777.38,,,,,,,,,,,,,,,,,,,,,,,,,20529189.38,
[3B1] Bovino,,8229163.0,4053001.0,,,,,,,,,,,,,,,,,,,,,,,,,12282164.0,
[3B2] Ovinos,,25091.0,22772.0,,,,,,,,,,,,,,,,,,,,,,,,,47863.0,
[3B3] Porcinos,,5108352.0,378779.0,,,,,,,,,,,,,,,,,,,,,,,,,5487131.0,
[3B4a] Búfalos,,1319.0,4404.0,,,,,,,,,,,,,,,,,,,,,,,,,5723.0,
[3B4b] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[3B4d] Caprino,,40459.0,21482.0,,,,,,,,,,,,,,,,,,,,,,,,,61941.0,
[3B4e] Caballos,,107419.0,851773.0,,,,,,,,,,,,,,,,,,,,,,,,,959192.0,
[3B4f] Mulas y asnos,,44194.0,322275.0,,,,,,,,,,,,,,,,,,,,,,,,,366469.0,
[3B4g] Aves de corral,,1102415.0,216291.38,,,,,,,,,,,,,,,,,,,,,,,,,1318706.38,
[3B4h] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3B5] Emisiones indirectas de los N2O de la gestión del estiércol,,,1786642.23,,,,,,,,,,,,,,,,,,,,,,,,,1786642.23,
[3C] Cultivo del arroz,,276801.15,,,,,,,,,,,,,,,,,,,,,,,,,,276801.15,
[3D1] Emisiones directas de los N2O de los suelos gestionados,,,8392914.43,,,,,,,,,,,,,,,,,,,,,,,,,8392914.43,
[3D2] Emisiones indirectas de los N2O de los suelos gestionados,,,4573340.72,,,,,,,,,,,,,,,,,,,,,,,,,4573340.72,
[3F] Emisiones de quemado de biomasa en tierras de cultivo,,564627.61,170906.97,,,,,,,,,,,,,,,,,,,,,,,,,735534.58,3300.96
[3G] Encalado,33661.94,,,,,,,,,,,,,,,,,,,,,,,,,,,33661.94,
[3H] aplicación de urea,956845.34,,,,,,,,,,,,,,,,,,,,,,,,,,,956845.34,
"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",-196800317.26,1774932.04,764776.84,,,,,,,,,,,,,,,,,,,,,,,,,-194260608.38,8231.16
[4A] Tierra forestales,-186075241.09,,,,,,,,,,,,,,,,,,,,,,,,,,,-186075241.09,
[4A1] Tierras forestales que permanecen como tal,-185857626.25,,,,,,,,,,,,,,,,,,,,,,,,,,,-185857626.25,
[4A2] Tierras convertidas a tierras forestales,-217614.84,,,,,,,,,,,,,,,,,,,,,,,,,,,-217614.84,
[4B] Tierra de cultivo,-13711357.31,,,,,,,,,,,,,,,,,,,,,,,,,,,-13711357.31,
[4B1] Tierras de cultivo que permanecen como tal,-14804849.54,,,,,,,,,,,,,,,,,,,,,,,,,,,-14804849.54,
[4B2] Tierras convertidas a tierras de cultivo,1093492.24,,,,,,,,,,,,,,,,,,,,,,,,,,,1093492.24,
[4C] Praderas,4980411.4,,,,,,,,,,,,,,,,,,,,,,,,,,,4980411.41,
[4C1] Praderas que permanecen como tal,-494920.28,,,,,,,,,,,,,,,,,,,,,,,,,,,-494920.28,
[4C2] Tierras convertidas en praderas,5475331.68,,,,,,,,,,,,,,,,,,,,,,,,,,,5475331.68,
[4D] Humedales,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[4D1] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4D2] Tierras convertidas en humedales,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[4E] Asentamientos ,66933.49,,,,,,,,,,,,,,,,,,,,,,,,,,,66933.49,
[4E1] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4E2] Tierras convertidas en asentamientos,66933.49,,,,,,,,,,,,,,,,,,,,,,,,,,,66933.49,
[4F] Otras tierras ,66933.49,,,,,,,,,,,,,,,,,,,,,,,,,,,66933.49,
[4F1] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4F1] Tierras convertidas en otras tierras,66933.49,,,,,,,,,,,,,,,,,,,,,,,,,,,66933.49,
[4(IV)] Emisiones de GEI por quemado de biomasa,,1774932.04,764776.84,,,,,,,,,,,,,,,,,,,,,,,,,2539708.88,8231.16
[4(IV)A] Emisiones de quemado de biomasa en tierras forestales,,1579934.47,596273.51,,,,,,,,,,,,,,,,,,,,,,,,,2176207.98,6999.56
[4(IV)C] Emisiones de quemado de biomasa en tierras praderas,,194997.57,168503.33,,,,,,,,,,,,,,,,,,,,,,,,,363500.9,1231.61
[4(IV)H] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[4G] Productos de madera recolectada,-2127997.26,,,,,,,,,,,,,,,,,,,,,,,,,,,-2127997.26,
[4H] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5] Residuos,476642.38,21828446.82,5612031.63,,,,,,,,,,,,,,,,,,,,,,,,,27917120.83,1470.38
[5A] Eliminación de residuos sólidos,,4843759.63,,,,,,,,,,,,,,,,,,,,,,,,,,4843759.63,
[5A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,2763359.81,,,,,,,,,,,,,,,,,,,,,,,,,,2763359.81,
[5A2] Sitios no controlados de eliminación de residuos ,,1562492.49,,,,,,,,,,,,,,,,,,,,,,,,,,1562492.49,
[5A3] Tiraderos a cielo abierto para eliminación de residuos,,517907.33,,,,,,,,,,,,,,,,,,,,,,,,,,517907.33,
[5B] Tratamiento biológico de los residuos sólidos,,98088.46,69625.29,,,,,,,,,,,,,,,,,,,,,,,,,167713.75,
[5C] Incineración y quema a cielo abierto  de residuos,476642.38,1100570.38,240374.09,,,,,,,,,,,,,,,,,,,,,,,,,1817586.84,1470.38
[5C1] Incineración de residuos peligrosos industriales y biológico infeccioso,71.336,0.145,2.291,,,,,,,,,,,,,,,,,,,,,,,,,73.772,
[5C2] Quema a cielo abierto de residuos sólidos,476571.04,1100570.23,240371.8,,,,,,,,,,,,,,,,,,,,,,,,,1817513.07,1470.38
[5D] Tratamiento y eliminación de aguas residuales,,15786028.36,5302032.25,,,,,,,,,,,,,,,,,,,,,,,,,21088060.61,
[5D1] Tratamiento y eliminación de aguas residuales municipales,,4604450.67,3754891.58,,,,,,,,,,,,,,,,,,,,,,,,,8359342.25,
[5D2] Tratamiento y eliminación de aguas residuales industriales,,11181577.69,1547140.67,,,,,,,,,,,,,,,,,,,,,,,,,12728718.36,
[5E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (t de CO2e),394282149.49,133587972.21,30963898.9,1312214.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,357275.99,95343.81,4.976,0.0,1.778,0.0,45.01,66591.7,560665498.18,93026.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,2899967.65,559.12,21166.86,,,,,,,,,,,,,,,,,,,,,,,,,2921693.63,41.056
Aviación internacional,2899967.65,559.12,21166.86,,,,,,,,,,,,,,,,,,,,,,,,,2921693.63,41.056
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,36523829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,36523829.0,
