categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),519957217.63,169226043.95,36820328.37,4242779.92,39329.17,0.0,192.837,0.0,3537517.9,2460139.89,19585.53,211329.78,23519.33,0.0,0.0,0.0,0.0,0.0,0.929,1091.78,609.289,122.132,0.001,43.638,0.001,1104.68,140203.76,736681160.51,92609.06
EMISIONES Sin UTCUTS,506278328.27,168710880.52,36609957.74,4242779.92,39329.17,0.0,192.837,0.0,3537517.9,2460139.89,19585.53,211329.78,23519.33,0.0,0.0,0.0,0.0,0.0,0.929,1091.78,609.289,122.132,0.001,43.638,0.001,1104.68,140203.76,722276737.11,
EMISIONES NETAS (Emisiones + Absorciones),312822421.34,169226043.95,36820328.37,4242779.92,39329.17,0.0,192.837,0.0,3537517.9,2460139.89,19585.53,211329.78,23519.33,0.0,0.0,0.0,0.0,0.0,0.929,1091.78,609.289,122.132,0.001,43.638,0.001,1104.68,140203.76,529546364.22,
[1] Energía,452209905.25,49050979.76,3850167.59,,,,,,,,,,,,,,,,,,,,,,,,,505111052.6,85919.41
[1A] Actividades de quema del combustible,412711655.94,1037973.95,3762032.93,,,,,,,,,,,,,,,,,,,,,,,,,417511662.82,65392.03
[1A1] Industrias de la energía,160841367.04,138128.71,283916.85,,,,,,,,,,,,,,,,,,,,,,,,,161263412.59,10863.18
[1A1a] Actividad principal producción de electricidad y calor,121572397.15,111196.06,244240.13,,,,,,,,,,,,,,,,,,,,,,,,,121927833.34,8974.77
[1A1b] Refinación del petróleo,12963255.25,10149.35,16360.95,,,,,,,,,,,,,,,,,,,,,,,,,12989765.55,1583.12
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,26305714.64,16783.29,23315.77,,,,,,,,,,,,,,,,,,,,,,,,,26345813.69,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1007666.93,5.038,,,,,,,,,,,,,,,,,,,,,,,,,,1007671.97,
1A1cii Otras Industrias de la energía  ,25298047.71,16778.26,23315.77,,,,,,,,,,,,,,,,,,,,,,,,,25338141.73,305.281
[1A2] Industrias manufactura y de la construcción,52241130.06,108817.92,152797.72,,,,,,,,,,,,,,,,,,,,,,,,,52502745.7,1136.13
[1A2a] Hierro y acero,2362105.71,1550.89,2172.15,,,,,,,,,,,,,,,,,,,,,,,,,2365828.75,39.538
[1A2b] Metales no ferrosos,1646379.32,1430.89,2423.89,,,,,,,,,,,,,,,,,,,,,,,,,1650234.1,17.502
[1A2c] Sustancias químicas,5109741.48,3549.27,5391.8,,,,,,,,,,,,,,,,,,,,,,,,,5118682.55,63.383
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,4908103.76,3444.13,5280.23,,,,,,,,,,,,,,,,,,,,,,,,,4916828.11,62.802
1A2ciii Fertilizantes,201637.72,105.143,111.576,,,,,,,,,,,,,,,,,,,,,,,,,201854.44,0.581
"[1A2d] Pulpa, papel e imprenta",2408025.24,1733.57,2625.02,,,,,,,,,,,,,,,,,,,,,,,,,2412383.83,51.661
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",2332348.25,43809.01,56423.63,,,,,,,,,,,,,,,,,,,,,,,,,2432580.9,627.874
1A2ei elaboración de azúcares,869217.58,42546.91,54270.26,,,,,,,,,,,,,,,,,,,,,,,,,966034.74,587.873
1A2eii elaboración de bebidas,468640.5,451.29,807.956,,,,,,,,,,,,,,,,,,,,,,,,,469899.75,8.001
1A2eiii elaboración de productos de tabaco,19005.41,9.883,10.508,,,,,,,,,,,,,,,,,,,,,,,,,19025.8,0.102
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,975484.76,800.934,1334.91,,,,,,,,,,,,,,,,,,,,,,,,,977620.61,31.898
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,195859.2,122.826,163.938,,,,,,,,,,,,,,,,,,,,,,,,,196145.97,0.602
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,11333984.84,11873.55,20653.81,,,,,,,,,,,,,,,,,,,,,,,,,11366512.21,82.393
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,763046.32,879.824,1665.38,,,,,,,,,,,,,,,,,,,,,,,,,765591.53,3.381
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,26089639.69,43868.08,61278.1,,,,,,,,,,,,,,,,,,,,,,,,,26194785.88,249.795
1A2mi Fabricación de vidrio y productos de vidrio,2662399.47,1471.47,1708.67,,,,,,,,,,,,,,,,,,,,,,,,,2665579.6,23.091
1A2mii Fabricación de productos de hule,406379.22,303.649,464.358,,,,,,,,,,,,,,,,,,,,,,,,,407147.22,3.515
1A2miii Otras ramas,23020861.01,42092.97,59105.08,,,,,,,,,,,,,,,,,,,,,,,,,23122059.05,223.188
[1A3] Transporte,164795270.71,480679.13,3017849.06,,,,,,,,,,,,,,,,,,,,,,,,,168293798.9,18840.74
[1A3a] Aviación civil,5842085.31,1126.37,42641.19,,,,,,,,,,,,,,,,,,,,,,,,,5885852.87,82.695
[1A3b] Autotransporte,154069520.73,468516.37,2757690.38,,,,,,,,,,,,,,,,,,,,,,,,,157295727.48,18592.48
[1A3c] Ferrocarriles,1881983.81,3001.84,195791.41,,,,,,,,,,,,,,,,,,,,,,,,,2080777.07,44.377
[1A3d] Navegación marítima y fluvial,3001680.87,8034.55,21726.07,,,,,,,,,,,,,,,,,,,,,,,,,3031441.49,121.182
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,34833888.14,310348.19,307469.3,,,,,,,,,,,,,,,,,,,,,,,,,35451705.63,34551.99
[1A4a] Comercial/institucional,4808983.05,10920.34,2442.85,,,,,,,,,,,,,,,,,,,,,,,,,4822346.24,2335.37
[1A4b] Residencial,21206096.46,266320.01,286604.7,,,,,,,,,,,,,,,,,,,,,,,,,21759021.17,31889.8
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,8818808.63,33107.84,18421.75,,,,,,,,,,,,,,,,,,,,,,,,,8870338.22,326.82
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,39498249.31,48013005.81,88134.66,,,,,,,,,,,,,,,,,,,,,,,,,87599389.78,20527.38
[1B1] Combustibles sólidos,137996.09,4853729.82,,,,,,,,,,,,,,,,,,,,,,,,,,4991725.91,
[1B1a] Minería carbonífera y manejo del carbón,137996.09,4853729.82,,,,,,,,,,,,,,,,,,,,,,,,,,4991725.91,
[1B1ai] Minas subterráneas,131421.21,4655671.45,,,,,,,,,,,,,,,,,,,,,,,,,,4787092.66,
[1B1aii] Minas superficie,6574.88,198058.37,,,,,,,,,,,,,,,,,,,,,,,,,,204633.25,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,39360253.22,43159275.99,88134.66,,,,,,,,,,,,,,,,,,,,,,,,,82607663.87,20527.38
[1B2a] Petróleo,36687155.67,35931053.93,88042.44,,,,,,,,,,,,,,,,,,,,,,,,,72706252.04,
1B2ai Venteo petróleo,6213709.7,7317774.43,,,,,,,,,,,,,,,,,,,,,,,,,,13531484.12,
