categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),576221842.01,163293867.16,35727820.58,447.516,820033.07,17542.15,23630.98,286.496,6267306.75,7295438.73,187784.93,495597.14,462335.57,26662.98,60393.22,4774.23,486.463,1477369.64,1.466,22404.69,2343.35,192.721,0.002,68.963,0.001,1967.66,217012.25,792627610.71,74039.37
EMISIONES Sin UTCUTS,553075390.2,162994774.73,35566820.88,447.516,820033.07,17542.15,23630.98,286.496,6267306.75,7295438.73,187784.93,495597.14,462335.57,26662.98,60393.22,4774.23,486.463,1477369.64,1.466,22404.69,2343.35,192.721,0.002,68.963,0.001,1967.66,217012.25,769021066.78,
EMISIONES NETAS (Emisiones + Absorciones),369329645.48,163293867.16,35727820.58,447.516,820033.07,17542.15,23630.98,286.496,6267306.75,7295438.73,187784.93,495597.14,462335.57,26662.98,60393.22,4774.23,486.463,1477369.64,1.466,22404.69,2343.35,192.721,0.002,68.963,0.001,1967.66,217012.25,585735414.19,
[1] Energía,501285961.58,25165665.69,3017967.42,,,,,,,,,,,,,,,,,,,,,,,,,529469594.68,66182.49
[1A] Actividades de quema del combustible,483115848.85,1129598.01,2968728.92,,,,,,,,,,,,,,,,,,,,,,,,,487214175.77,61376.82
[1A1] Industrias de la energía,211352405.07,175861.8,343989.13,,,,,,,,,,,,,,,,,,,,,,,,,211872255.99,8501.14
[1A1a] Actividad principal producción de electricidad y calor,171549436.17,153671.9,317055.68,,,,,,,,,,,,,,,,,,,,,,,,,172020163.75,7248.37
[1A1b] Refinación del petróleo,12702299.68,8329.35,11678.39,,,,,,,,,,,,,,,,,,,,,,,,,12722307.43,947.485
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,27100669.21,13860.55,15255.06,,,,,,,,,,,,,,,,,,,,,,,,,27129784.81,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1206871.26,6.034,,,,,,,,,,,,,,,,,,,,,,,,,,1206877.29,
