categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),513081377.88,188848806.89,38936674.0,1974597.95,2483053.28,5857.88,34841.7,275.913,8496928.88,9155282.13,295183.2,165234.11,510866.27,40715.86,63541.47,60067.92,4364.15,1589428.98,32784.64,28670.0,3233.3,299.95,0.003,107.289,0.002,2964.63,401152.74,766216311.03,77867.99
EMISIONES Sin UTCUTS,491173139.03,188005203.9,38495680.57,1974597.95,2483053.28,5857.88,34841.7,275.913,8496928.88,9155282.13,295183.2,165234.11,510866.27,40715.86,63541.47,60067.92,4364.15,1589428.98,32784.64,28670.0,3233.3,299.95,0.003,107.289,0.002,2964.63,401152.74,743023475.75,
EMISIONES NETAS (Emisiones + Absorciones),303764101.78,188848806.89,38936674.0,1974597.95,2483053.28,5857.88,34841.7,275.913,8496928.88,9155282.13,295183.2,165234.11,510866.27,40715.86,63541.47,60067.92,4364.15,1589428.98,32784.64,28670.0,3233.3,299.95,0.003,107.289,0.002,2964.63,401152.74,556899034.93,
[1] Energía,441537983.58,34204865.91,2358291.69,,,,,,,,,,,,,,,,,,,,,,,,,478101141.17,67917.73
[1A] Actividades de quema del combustible,423793448.9,1042111.35,2346990.44,,,,,,,,,,,,,,,,,,,,,,,,,427182550.68,58433.63
[1A1] Industrias de la energía,167261748.28,138668.3,195047.09,,,,,,,,,,,,,,,,,,,,,,,,,167595463.67,5780.42
[1A1a] Actividad principal producción de electricidad y calor,141212165.21,124639.68,178603.44,,,,,,,,,,,,,,,,,,,,,,,,,141515408.33,5141.46
[1A1b] Refinación del petróleo,9490401.65,5879.06,7798.17,,,,,,,,,,,,,,,,,,,,,,,,,9504078.87,579.303
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,16559181.42,8149.56,8645.48,,,,,,,,,,,,,,,,,,,,,,,,,16575976.47,59.649
1A1ci Fabricación de combustibles sólidos (coque de carbón),861904.47,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,861908.78,
1A1cii Otras Industrias de la energía  ,15697276.95,8145.25,8645.48,,,,,,,,,,,,,,,,,,,,,,,,,15714067.68,59.649
[1A2] Industrias manufactura y de la construcción,69194476.19,128530.54,177698.17,,,,,,,,,,,,,,,,,,,,,,,,,69500704.89,786.039
[1A2a] Hierro y acero,5641502.79,2740.29,2602.3,,,,,,,,,,,,,,,,,,,,,,,,,5646845.38,15.827
[1A2b] Metales no ferrosos,1712136.29,1188.09,1749.41,,,,,,,,,,,,,,,,,,,,,,,,,1715073.78,9.762
[1A2c] Sustancias químicas,5756755.54,3095.81,3437.81,,,,,,,,,,,,,,,,,,,,,,,,,5763289.16,20.671
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,5756755.54,3095.81,3437.81,,,,,,,,,,,,,,,,,,,,,,,,,5763289.16,20.671
1A2ciii Fertilizantes,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"[1A2d] Pulpa, papel e imprenta",3006287.82,2010.17,2828.8,,,,,,,,,,,,,,,,,,,,,,,,,3011126.79,25.226
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",2096067.96,30880.44,39105.96,,,,,,,,,,,,,,,,,,,,,,,,,2166054.36,393.304
1A2ei elaboración de azúcares,0.0,29530.1,37264.17,,,,,,,,,,,,,,,,,,,,,,,,,66794.27,383.54
1A2eii elaboración de bebidas,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1A2eiii elaboración de productos de tabaco,627220.99,565.741,972.598,,,,,,,,,,,,,,,,,,,,,,,,,628759.33,2.356
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,1468846.97,784.597,869.193,,,,,,,,,,,,,,,,,,,,,,,,,1470500.76,7.408
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,680656.04,355.595,397.06,,,,,,,,,,,,,,,,,,,,,,,,,681408.69,1.852
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,17431676.39,18707.43,30110.86,,,,,,,,,,,,,,,,,,,,,,,,,17480494.68,89.819
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,221117.79,254.958,482.599,,,,,,,,,,,,,,,,,,,,,,,,,221855.35,0.98
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,32648275.58,69297.76,96983.37,,,,,,,,,,,,,,,,,,,,,,,,,32814556.71,228.598
1A2mi Fabricación de vidrio y productos de vidrio,2858171.49,1594.45,1861.66,,,,,,,,,,,,,,,,,,,,,,,,,2861627.61,16.618
1A2mii Fabricación de productos de hule,509250.67,341.628,480.109,,,,,,,,,,,,,,,,,,,,,,,,,510072.41,3.137
1A2miii Otras ramas,29280853.42,67361.68,94641.59,,,,,,,,,,,,,,,,,,,,,,,,,29442856.69,208.843
[1A3] Transporte,153114799.42,417204.54,1605892.53,,,,,,,,,,,,,,,,,,,,,,,,,155137896.5,13688.33
[1A3a] Aviación civil,5466777.24,1054.0,39901.27,,,,,,,,,,,,,,,,,,,,,,,,,5507732.51,77.338
[1A3b] Autotransporte,144253198.19,409070.3,1366190.64,,,,,,,,,,,,,,,,,,,,,,,,,146028459.13,13446.8
[1A3c] Ferrocarriles,1811596.39,2889.57,188468.69,,,,,,,,,,,,,,,,,,,,,,,,,2002954.65,42.72
[1A3d] Navegación marítima y fluvial,1583227.61,4190.67,11331.92,,,,,,,,,,,,,,,,,,,,,,,,,1598750.21,121.473
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,34222425.01,357707.97,368352.65,,,,,,,,,,,,,,,,,,,,,,,,,34948485.63,38178.85
[1A4a] Comercial/institucional,5643578.7,12386.72,2344.63,,,,,,,,,,,,,,,,,,,,,,,,,5658310.05,2736.45
[1A4b] Residencial,19207854.45,309835.04,346112.41,,,,,,,,,,,,,,,,,,,,,,,,,19863801.9,35198.0
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,9370991.86,35486.21,19895.61,,,,,,,,,,,,,,,,,,,,,,,,,9426373.68,244.4
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,17744534.68,33162754.55,11301.25,,,,,,,,,,,,,,,,,,,,,,,,,50918590.48,9484.09
[1B1] Combustibles sólidos,50446.4,1774348.82,,,,,,,,,,,,,,,,,,,,,,,,,,1824795.22,
[1B1a] Minería carbonífera y manejo del carbón,50446.4,1774348.82,,,,,,,,,,,,,,,,,,,,,,,,,,1824795.22,
[1B1ai] Minas subterráneas,48042.86,1701945.81,,,,,,,,,,,,,,,,,,,,,,,,,,1749988.67,
[1B1aii] Minas superficie,2403.54,72403.01,,,,,,,,,,,,,,,,,,,,,,,,,,74806.55,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,17694088.28,31388405.73,11301.25,,,,,,,,,,,,,,,,,,,,,,,,,49093795.26,9484.09
[1B2a] Petróleo,13544846.53,22886623.08,11265.87,,,,,,,,,,,,,,,,,,,,,,,,,36442735.49,
1B2ai Venteo petróleo,3499218.94,8789903.56,,,,,,,,,,,,,,,,,,,,,,,,,,12289122.5,
1B2aii Quemado petróleo,10014075.54,13979992.63,11265.87,,,,,,,,,,,,,,,,,,,,,,,,,24005334.04,9484.09
1B2aiii Otras fugitivas petróleo,31552.06,116726.89,,,,,,,,,,,,,,,,,,,,,,,,,,148278.95,
[1B2b] Gas natural,4149241.75,8501782.65,35.381,,,,,,,,,,,,,,,,,,,,,,,,,12651059.78,
1B2bi Venteo gas natural,1449393.69,2436621.23,,,,,,,,,,,,,,,,,,,,,,,,,,3886014.92,
1B2bii Quemado gas natural,2697205.67,3585431.84,35.381,,,,,,,,,,,,,,,,,,,,,,,,,6282672.9,
1B2biii Otras fugitivas gas natural,2642.39,2479729.58,,,,,,,,,,,,,,,,,,,,,,,,,,2482371.97,
[2] Procesos industriales y uso de productos,46446971.12,181151.64,542064.89,1974597.95,2483053.28,5857.88,34841.7,275.913,8496928.88,9155282.13,295183.2,165234.11,510866.27,40715.86,63541.47,60067.92,4364.15,1589428.98,32784.64,28670.0,3233.3,299.95,0.003,107.289,0.002,2964.63,401152.74,72519639.9,
[2A] Industria de los minerales,29552399.69,,,,,,,,,,,,,,,,,,,,,,,,,,,29552399.69,
[2A1] Producción de cemento,19560928.99,,,,,,,,,,,,,,,,,,,,,,,,,,,19560928.99,
[2A2] Producción de cal,3328033.22,,,,,,,,,,,,,,,,,,,,,,,,,,,3328033.22,
[2A3] Producción de vidrio,1101961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1101961.0,
[2A4] Otros usos de carbonatos,5561476.48,,,,,,,,,,,,,,,,,,,,,,,,,,,5561476.48,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2B] Industria química,2354383.86,179251.64,541709.44,1973901.44,,,,,,,,,,,,,,,,,,,,,,,,5049246.38,
[2B1] Producción de amoniaco,292344.37,,,,,,,,,,,,,,,,,,,,,,,,,,,292344.37,
[2B2] Producción de ácido nítrico,,,489477.94,,,,,,,,,,,,,,,,,,,,,,,,,489477.94,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,52231.5,,,,,,,,,,,,,,,,,,,,,,,,,52231.5,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2B6] Producción de dióxido de titanio,386969.22,,,,,,,,,,,,,,,,,,,,,,,,,,,386969.22,
[2B7] Producción de ceniza de sosa,162616.93,,,,,,,,,,,,,,,,,,,,,,,,,,,162616.93,
[2B8] Producción petroquímica y negro de humo,1512453.35,179251.64,,,,,,,,,,,,,,,,,,,,,,,,,,1691704.99,
[2B9] Producción fluoroquímica,,,,1973901.44,,,,,,,,,,,,,,,,,,,,,,,,1973901.44,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2C] Industria de los metales,14508533.46,1900.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,14510433.46,
[2C1] Producción de hierro y acero,14068588.76,1900.0,,,,,,,,,,,,,,,,,,,,,,,,,,14070488.76,
[2C2] Producción de ferroaleaciones,332429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,332429.0,
[2C3] Producción de aluminio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C5] Producción de plomo,107515.7,,,,,,,,,,,,,,,,,,,,,,,,,,,107515.7,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,4609.41,,,,,,,,,,,,,,,,,,,,,,,,,,,4609.41,
[2D1] Uso de lubricantes,3515.65,,,,,,,,,,,,,,,,,,,,,,,,,,,3515.65,
[2D2] Uso de la cera de parafina,1093.76,,,,,,,,,,,,,,,,,,,,,,,,,,,1093.76,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2E] Industria electrónica,,,355.447,696.514,,,,,,,,,,,,,,,1.856,28670.0,3233.3,299.95,0.003,107.289,0.002,2964.63,2498.57,38827.57,
[2E1] Circuitos integrados o semiconductores,,,300.681,696.514,,,,,,,,,,,,,,,1.856,2681.36,1496.38,299.95,0.003,107.173,0.002,2713.04,1320.01,9616.96,
[2E2] Pantalla plana tipo TFT,,,54.766,,,,,,,,,,,,,,,,,52.205,,,,0.116,,251.595,1178.57,1537.25,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,25936.44,1736.92,,,,,,,27673.36,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,,,,,2483053.28,5857.88,34841.7,275.913,8496928.88,9155282.13,295183.2,165234.11,510866.27,40715.86,63541.47,60067.92,4364.15,1589428.98,32782.78,,,,,,,,,22938424.53,
[2F1] Refrigeración y aire acondicionado,,,,,2483053.28,,,,7820532.45,9155282.13,295183.2,,,,,,,1589428.98,32782.78,,,,,,,,,21376262.82,
[2F2] Agentes espumantes,,,,,,,,275.913,1818.15,,,165234.11,,,,28121.34,,,,,,,,,,,,195449.52,
[2F3] Protección contra incendios,,,,,,,34841.7,,,,,,,40715.86,63541.47,,4364.15,,,,,,,,,,,143463.18,
[2F4] Aerosoles,,,,,,,,,674578.28,,,,510866.27,,,31946.58,,,,,,,,,,,,1217391.13,
[2F5] Solventes,,,,,,5857.88,,,,,,,,,,,,,,,,,,,,,,5857.88,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G] Manufactura y utilización de otros productos,,,,,,,,,,,,,,,,,,,,,,,,,,,398654.17,398654.17,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,398654.17,398654.17,
