categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),340584140.92,119798795.62,29895665.69,647780.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55230.55,14737,0,0,0,0,0,53408.25,491049758.99,85329.14
EMISIONES Sin UTCUTS,333618520.91,119058148.83,29595209.44,647780.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55230.55,14737,0,0,0,0,0,53408.25,483043035.94,
EMISIONES NETAS (Emisiones + Absorciones),137302095.08,119798795.62,29895665.69,647780.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55230.55,14737,0,0,0,0,0,53408.25,287767713.15,
[1] Energía,298554034.85,16372578.43,3093693.51,,,,,,,,,,,,,,,,,,,,,,,,,318020306.79,78206.48
[1A] Actividades de quema del combustible,284972649.4,872511.01,3077461.79,,,,,,,,,,,,,,,,,,,,,,,,,288922622.21,74670.35
[1A1] Industrias de la energía,114171983.98,91195.86,205716.39,,,,,,,,,,,,,,,,,,,,,,,,,114468896.22,14433.32
[1A1a] Actividad principal producción de electricidad y calor,81733787.36,67967.23,169923.64,,,,,,,,,,,,,,,,,,,,,,,,,81971678.23,12401.93
[1A1b] Refinación del petróleo,9852871.4,9113.26,16205.05,,,,,,,,,,,,,,,,,,,,,,,,,9878189.71,1726.11
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,22585325.21,14115.37,19587.7,,,,,,,,,,,,,,,,,,,,,,,,,22619028.28,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1142524.26,5.713,,,,,,,,,,,,,,,,,,,,,,,,,,1142529.98,
1A1cii Otras Industrias de la energía  ,21442800.95,14109.66,19587.7,,,,,,,,,,,,,,,,,,,,,,,,,21476498.3,305.281
[1A2] Industrias manufactura y de la construcción,40480327.46,105043.3,146036.66,,,,,,,,,,,,,,,,,,,,,,,,,40731407.42,2004.33
