categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),540087638.28,161175739.93,40570665.1,1438144.81,581833.52,16441.05,22094.21,8989.12,5926146.9,7041197.99,161816.23,426185.19,402047.42,18260.87,49746.31,8625.23,506.732,1512472.91,1.343,21209.64,2192.23,176.54,0.002,63.184,0.001,1825.56,200840.32,759674860.58,70981.25
EMISIONES Sin UTCUTS,522212603.53,161047975.28,40515511.45,1438144.81,581833.52,16441.05,22094.21,8989.12,5926146.9,7041197.99,161816.23,426185.19,402047.42,18260.87,49746.31,8625.23,506.732,1512472.91,1.343,21209.64,2192.23,176.54,0.002,63.184,0.001,1825.56,200840.32,741616907.54,
EMISIONES NETAS (Emisiones + Absorciones),333627434.67,161175739.93,40570665.1,1438144.81,581833.52,16441.05,22094.21,8989.12,5926146.9,7041197.99,161816.23,426185.19,402047.42,18260.87,49746.31,8625.23,506.732,1512472.91,1.343,21209.64,2192.23,176.54,0.002,63.184,0.001,1825.56,200840.32,553214656.98,
[1] Energía,471349312.32,25013590.72,3094087.37,,,,,,,,,,,,,,,,,,,,,,,,,499456990.4,64996.32
[1A] Actividades de quema del combustible,455222604.13,1112320.01,3053473.98,,,,,,,,,,,,,,,,,,,,,,,,,459388398.11,60951.18
[1A1] Industrias de la energía,184785993.84,155992.31,318276.48,,,,,,,,,,,,,,,,,,,,,,,,,185260262.64,7817.46
[1A1a] Actividad principal producción de electricidad y calor,145429650.8,132351.24,287326.46,,,,,,,,,,,,,,,,,,,,,,,,,145849328.49,6642.85
[1A1b] Refinación del petróleo,11796920.81,7707.23,10769.39,,,,,,,,,,,,,,,,,,,,,,,,,11815397.43,869.326
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,27559422.24,15933.84,20180.64,,,,,,,,,,,,,,,,,,,,,,,,,27595536.71,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1136683.73,5.683,,,,,,,,,,,,,,,,,,,,,,,,,,1136689.41,
1A1cii Otras Industrias de la energía  ,26422738.51,15928.15,20180.64,,,,,,,,,,,,,,,,,,,,,,,,,26458847.3,305.281
[1A2] Industrias manufactura y de la construcción,66696729.33,113871.76,153744.85,,,,,,,,,,,,,,,,,,,,,,,,,66964345.93,794.065
