categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),555050020.1,158999395.4,37454926.75,485.088,1069892.74,22486.47,28702.98,284.347,6632266.47,7557352.05,213764.01,472544.17,503262.53,32596.57,67187.52,41442.17,467.004,1391374.42,1.589,22527.36,2422.45,208.901,0.002,74.749,0.002,2124.62,257088.54,769822898.99,77426.99
EMISIONES Sin UTCUTS,537470393.62,158170762.3,37015339.14,485.088,1069892.74,22486.47,28702.98,284.347,6632266.47,7557352.05,213764.01,472544.17,503262.53,32596.57,67187.52,41442.17,467.004,1391374.42,1.589,22527.36,2422.45,208.901,0.002,74.749,0.002,2124.62,257088.54,750975051.81,
EMISIONES NETAS (Emisiones + Absorciones),347415051.77,158999395.4,37454926.75,485.088,1069892.74,22486.47,28702.98,284.347,6632266.47,7557352.05,213764.01,472544.17,503262.53,32596.57,67187.52,41442.17,467.004,1391374.42,1.589,22527.36,2422.45,208.901,0.002,74.749,0.002,2124.62,257088.54,562187930.67,
[1] Energía,483952479.5,17888028.11,2870235.34,,,,,,,,,,,,,,,,,,,,,,,,,504710742.96,65622.37
[1A] Actividades de quema del combustible,472949724.45,1113675.92,2846051.54,,,,,,,,,,,,,,,,,,,,,,,,,476909451.92,60384.16
[1A1] Industrias de la energía,199587911.53,162849.08,315510.83,,,,,,,,,,,,,,,,,,,,,,,,,200066271.44,8727.53
[1A1a] Actividad principal producción de electricidad y calor,164315188.78,143806.84,293212.31,,,,,,,,,,,,,,,,,,,,,,,,,164752207.93,7756.59
[1A1b] Refinación del petróleo,10829598.06,6720.99,8931.81,,,,,,,,,,,,,,,,,,,,,,,,,10845250.87,665.658
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,24443124.69,12321.25,13366.7,,,,,,,,,,,,,,,,,,,,,,,,,24468812.65,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1173187.11,5.866,,,,,,,,,,,,,,,,,,,,,,,,,,1173192.98,
1A1cii Otras Industrias de la energía  ,23269937.58,12315.39,13366.7,,,,,,,,,,,,,,,,,,,,,,,,,23295619.67,305.281
[1A2] Industrias manufactura y de la construcción,68058537.37,118607.63,158975.39,,,,,,,,,,,,,,,,,,,,,,,,,68336120.39,812.325
[1A2a] Hierro y acero,4508132.91,2273.5,2303.37,,,,,,,,,,,,,,,,,,,,,,,,,4512709.78,18.904
[1A2b] Metales no ferrosos,1695970.46,1083.9,1514.15,,,,,,,,,,,,,,,,,,,,,,,,,1698568.51,11.657
[1A2c] Sustancias químicas,4975677.51,2696.52,3031.67,,,,,,,,,,,,,,,,,,,,,,,,,4981405.69,22.63
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,4963716.09,2682.72,3005.56,,,,,,,,,,,,,,,,,,,,,,,,,4969404.38,22.577
1A2ciii Fertilizantes,11961.41,13.792,26.106,,,,,,,,,,,,,,,,,,,,,,,,,12001.31,0.053
"[1A2d] Pulpa, papel e imprenta",2603185.74,1674.92,2301.87,,,,,,,,,,,,,,,,,,,,,,,,,2607162.53,38.492
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",606992.7,31525.44,40021.94,,,,,,,,,,,,,,,,,,,,,,,,,678540.08,409.161
1A2ei elaboración de azúcares,0.0,30991.99,39108.94,,,,,,,,,,,,,,,,,,,,,,,,,70100.93,402.527
1A2eii elaboración de bebidas,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1A2eiii elaboración de productos de tabaco,522716.98,444.277,744.21,,,,,,,,,,,,,,,,,,,,,,,,,523905.47,2.07
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,84275.72,89.171,168.789,,,,,,,,,,,,,,,,,,,,,,,,,84533.68,4.564
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,450853.05,267.558,337.312,,,,,,,,,,,,,,,,,,,,,,,,,451457.92,1.354
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,6607885.38,7600.14,12434.42,,,,,,,,,,,,,,,,,,,,,,,,,6627919.94,38.275
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,351482.33,405.274,767.126,,,,,,,,,,,,,,,,,,,,,,,,,352654.73,1.557
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,46258357.3,71080.38,96263.53,,,,,,,,,,,,,,,,,,,,,,,,,46425701.21,270.295
1A2mi Fabricación de vidrio y productos de vidrio,2704951.79,1340.55,1319.95,,,,,,,,,,,,,,,,,,,,,,,,,2707612.3,9.465
1A2mii Fabricación de productos de hule,523970.04,390.268,596.036,,,,,,,,,,,,,,,,,,,,,,,,,524956.34,4.902
1A2miii Otras ramas,43029435.47,69349.56,94347.54,,,,,,,,,,,,,,,,,,,,,,,,,43193132.57,255.928
[1A3] Transporte,172303356.29,470314.99,1995428.98,,,,,,,,,,,,,,,,,,,,,,,,,174769100.26,13401.15
[1A3a] Aviación civil,7237238.11,1395.34,52823.63,,,,,,,,,,,,,,,,,,,,,,,,,7291457.09,102.384
[1A3b] Autotransporte,160704356.9,459550.78,1705814.8,,,,,,,,,,,,,,,,,,,,,,,,,162869722.48,13142.9
[1A3c] Ferrocarriles,2120469.83,3382.24,220602.21,,,,,,,,,,,,,,,,,,,,,,,,,2344454.28,50.0
[1A3d] Navegación marítima y fluvial,2241291.45,5986.63,16188.34,,,,,,,,,,,,,,,,,,,,,,,,,2263466.42,105.867
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,32999919.27,361904.22,376136.34,,,,,,,,,,,,,,,,,,,,,,,,,33737959.83,37443.16
[1A4a] Comercial/institucional,4846317.52,10908.18,2292.17,,,,,,,,,,,,,,,,,,,,,,,,,4859517.87,2246.48
[1A4b] Residencial,17995760.47,312500.85,352247.25,,,,,,,,,,,,,,,,,,,,,,,,,18660508.57,34941.61
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,10157841.28,38495.19,21596.92,,,,,,,,,,,,,,,,,,,,,,,,,10217933.39,255.07
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,11002755.05,16774352.19,24183.8,,,,,,,,,,,,,,,,,,,,,,,,,27801291.04,5238.2
[1B1] Combustibles sólidos,81297.89,2859486.85,,,,,,,,,,,,,,,,,,,,,,,,,,2940784.74,
[1B1a] Minería carbonífera y manejo del carbón,81297.89,2859486.85,,,,,,,,,,,,,,,,,,,,,,,,,,2940784.74,
[1B1ai] Minas subterráneas,77424.42,2742804.35,,,,,,,,,,,,,,,,,,,,,,,,,,2820228.77,
[1B1aii] Minas superficie,3873.47,116682.5,,,,,,,,,,,,,,,,,,,,,,,,,,120555.97,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,10921457.16,13914865.34,24183.8,,,,,,,,,,,,,,,,,,,,,,,,,24860506.3,5238.2
[1B2a] Petróleo,8591047.09,7863279.17,24135.62,,,,,,,,,,,,,,,,,,,,,,,,,16478461.88,
1B2ai Venteo petróleo,3750407.59,4184013.72,,,,,,,,,,,,,,,,,,,,,,,,,,7934421.31,
1B2aii Quemado petróleo,4807596.96,3555243.66,24135.62,,,,,,,,,,,,,,,,,,,,,,,,,8386976.24,5238.2
1B2aiii Otras fugitivas petróleo,33042.54,124021.79,,,,,,,,,,,,,,,,,,,,,,,,,,157064.33,
[1B2b] Gas natural,2330410.07,6051586.17,48.18,,,,,,,,,,,,,,,,,,,,,,,,,8382044.42,
1B2bi Venteo gas natural,1751043.52,2770396.59,,,,,,,,,,,,,,,,,,,,,,,,,,4521440.11,
1B2bii Quemado gas natural,576082.08,412493.95,48.18,,,,,,,,,,,,,,,,,,,,,,,,,988624.21,
1B2biii Otras fugitivas gas natural,3284.47,2868695.63,,,,,,,,,,,,,,,,,,,,,,,,,,2871980.1,
[2] Procesos industriales y uso de productos,50511109.97,274190.06,719749.38,485.088,1069892.74,22486.47,28702.98,284.347,6632266.47,7557352.05,213764.01,472544.17,503262.53,32596.57,67187.52,41442.17,467.004,1391374.42,1.589,22527.36,2422.45,208.901,0.002,74.749,0.002,2124.62,257088.54,69823606.15,
[2A] Industria de los minerales,28671214.05,,,,,,,,,,,,,,,,,,,,,,,,,,,28671214.05,
[2A1] Producción de cemento,19662370.62,,,,,,,,,,,,,,,,,,,,,,,,,,,19662370.62,
[2A2] Producción de cal,3832386.75,,,,,,,,,,,,,,,,,,,,,,,,,,,3832386.75,
[2A3] Producción de vidrio,682073.17,,,,,,,,,,,,,,,,,,,,,,,,,,,682073.17,
[2A4] Otros usos de carbonatos,4494383.52,,,,,,,,,,,,,,,,,,,,,,,,,,,4494383.52,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2B] Industria química,3120246.75,272081.1,719488.79,0.0,,,,,,,,,,,,,,,,,,,,,,,,4111816.64,
[2B1] Producción de amoniaco,598888.05,,,,,,,,,,,,,,,,,,,,,,,,,,,598888.05,
[2B2] Producción de ácido nítrico,,,551105.41,,,,,,,,,,,,,,,,,,,,,,,,,551105.41,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,168383.39,,,,,,,,,,,,,,,,,,,,,,,,,168383.39,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2B6] Producción de dióxido de titanio,386969.22,,,,,,,,,,,,,,,,,,,,,,,,,,,386969.22,
[2B7] Producción de ceniza de sosa,143552.25,,,,,,,,,,,,,,,,,,,,,,,,,,,143552.25,
[2B8] Producción petroquímica y negro de humo,1990837.23,272081.1,,,,,,,,,,,,,,,,,,,,,,,,,,2262918.33,
[2B9] Producción fluoroquímica,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2C] Industria de los metales,18606417.86,2108.96,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,18608526.82,
[2C1] Producción de hierro y acero,18184270.0,2108.96,,,,,,,,,,,,,,,,,,,,,,,,,,18186378.96,
[2C2] Producción de ferroaleaciones,324412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,324412.0,
