categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),496965521.51,149840643.49,35019732.54,4281799.92,16499.92,0.0,60.864,0.0,2830976.11,1134316.67,8341.8,117743.34,11411.9,0.0,0.0,0.0,0.0,0.0,0.895,1052.36,587.291,117.723,0.001,42.063,0.001,1064.8,137070.21,690366983.41,79814.38
EMISIONES Sin UTCUTS,479944303.32,149469015.39,34879021.46,4281799.92,16499.92,0.0,60.864,0.0,2830976.11,1134316.67,8341.8,117743.34,11411.9,0.0,0.0,0.0,0.0,0.0,0.895,1052.36,587.291,117.723,0.001,42.063,0.001,1064.8,137070.21,672833426.04,
EMISIONES NETAS (Emisiones + Absorciones),286614748.21,149840643.49,35019732.54,4281799.92,16499.92,0.0,60.864,0.0,2830976.11,1134316.67,8341.8,117743.34,11411.9,0.0,0.0,0.0,0.0,0.0,0.895,1052.36,587.291,117.723,0.001,42.063,0.001,1064.8,137070.21,480016210.11,
[1] Energía,427694842.25,32644751.17,3806279.64,,,,,,,,,,,,,,,,,,,,,,,,,464145873.07,74038.19
[1A] Actividades de quema del combustible,405780440.57,1020316.86,3767916.99,,,,,,,,,,,,,,,,,,,,,,,,,410568674.42,65271.56
[1A1] Industrias de la energía,163311791.2,139939.3,317368.96,,,,,,,,,,,,,,,,,,,,,,,,,163769099.45,11453.85
[1A1a] Actividad principal producción de electricidad y calor,128475338.97,116919.5,284332.05,,,,,,,,,,,,,,,,,,,,,,,,,128876590.52,9634.08
[1A1b] Refinación del petróleo,12186121.93,9611.22,15569.59,,,,,,,,,,,,,,,,,,,,,,,,,12211302.74,1514.49
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,22650330.3,13408.57,17467.32,,,,,,,,,,,,,,,,,,,,,,,,,22681206.19,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),959514.34,4.798,,,,,,,,,,,,,,,,,,,,,,,,,,959519.14,
1A1cii Otras Industrias de la energía  ,21690815.96,13403.78,17467.32,,,,,,,,,,,,,,,,,,,,,,,,,21721687.05,305.281
[1A2] Industrias manufactura y de la construcción,52771898.99,100307.01,142562.1,,,,,,,,,,,,,,,,,,,,,,,,,53014768.09,1164.37
[1A2a] Hierro y acero,2350175.72,1570.96,2236.22,,,,,,,,,,,,,,,,,,,,,,,,,2353982.9,41.759
[1A2b] Metales no ferrosos,1287717.05,993.735,1580.24,,,,,,,,,,,,,,,,,,,,,,,,,1290291.03,16.451
[1A2c] Sustancias químicas,5456344.98,3879.65,6001.88,,,,,,,,,,,,,,,,,,,,,,,,,5466226.51,76.158
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,5206933.6,3750.06,5865.05,,,,,,,,,,,,,,,,,,,,,,,,,5216548.71,75.44
1A2ciii Fertilizantes,249411.38,129.595,136.828,,,,,,,,,,,,,,,,,,,,,,,,,249677.81,0.717
"[1A2d] Pulpa, papel e imprenta",2384027.75,1763.18,2725.71,,,,,,,,,,,,,,,,,,,,,,,,,2388516.65,55.914
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",2703854.06,37675.64,48956.48,,,,,,,,,,,,,,,,,,,,,,,,,2790486.17,565.058
1A2ei elaboración de azúcares,1272392.72,36429.85,46820.08,,,,,,,,,,,,,,,,,,,,,,,,,1355642.65,524.881
1A2eii elaboración de bebidas,455205.5,439.581,788.036,,,,,,,,,,,,,,,,,,,,,,,,,456433.11,7.809
1A2eiii elaboración de productos de tabaco,16230.98,8.568,9.318,,,,,,,,,,,,,,,,,,,,,,,,,16248.86,0.098
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,960024.87,797.635,1339.05,,,,,,,,,,,,,,,,,,,,,,,,,962161.55,32.27
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,186427.82,115.546,152.627,,,,,,,,,,,,,,,,,,,,,,,,,186695.99,0.569
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,13668764.0,14157.36,24813.12,,,,,,,,,,,,,,,,,,,,,,,,,13707734.48,113.268
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,727078.08,838.352,1586.88,,,,,,,,,,,,,,,,,,,,,,,,,729503.31,3.222
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,24007509.53,39312.59,54508.94,,,,,,,,,,,,,,,,,,,,,,,,,24101331.06,291.968
1A2mi Fabricación de vidrio y productos de vidrio,2578692.53,1443.44,1705.95,,,,,,,,,,,,,,,,,,,,,,,,,2581841.91,23.737
1A2mii Fabricación de productos de hule,411613.29,305.279,464.633,,,,,,,,,,,,,,,,,,,,,,,,,412383.21,3.667
1A2miii Otras ramas,21017203.71,37563.87,52338.36,,,,,,,,,,,,,,,,,,,,,,,,,21107105.95,264.564
[1A3] Transporte,155704314.91,472096.44,3001239.8,,,,,,,,,,,,,,,,,,,,,,,,,159177651.15,17965.21
[1A3a] Aviación civil,6266935.62,1208.28,45742.13,,,,,,,,,,,,,,,,,,,,,,,,,6313886.03,88.706
[1A3b] Autotransporte,145124984.69,461416.63,2740433.88,,,,,,,,,,,,,,,,,,,,,,,,,148326835.2,17714.19
[1A3c] Ferrocarriles,1899811.85,3030.28,197646.15,,,,,,,,,,,,,,,,,,,,,,,,,2100488.28,44.798
[1A3d] Navegación marítima y fluvial,2412582.75,6441.24,17417.65,,,,,,,,,,,,,,,,,,,,,,,,,2436441.65,117.521
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,33992435.48,307974.12,306746.13,,,,,,,,,,,,,,,,,,,,,,,,,34607155.73,34688.13
[1A4a] Comercial/institucional,4928044.52,11119.96,2437.33,,,,,,,,,,,,,,,,,,,,,,,,,4941601.81,2433.89
[1A4b] Residencial,21349904.75,267750.6,288045.35,,,,,,,,,,,,,,,,,,,,,,,,,21905700.7,32016.03
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,7714486.21,29103.56,16263.45,,,,,,,,,,,,,,,,,,,,,,,,,7759853.22,238.21
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,21914401.68,31624434.31,38362.65,,,,,,,,,,,,,,,,,,,,,,,,,53577198.64,8766.63
[1B1] Combustibles sólidos,118020.19,4151118.42,,,,,,,,,,,,,,,,,,,,,,,,,,4269138.61,
[1B1a] Minería carbonífera y manejo del carbón,118020.19,4151118.42,,,,,,,,,,,,,,,,,,,,,,,,,,4269138.61,
[1B1ai] Minas subterráneas,112397.07,3981730.38,,,,,,,,,,,,,,,,,,,,,,,,,,4094127.45,
[1B1aii] Minas superficie,5623.12,169388.04,,,,,,,,,,,,,,,,,,,,,,,,,,175011.16,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,21796381.49,27473315.89,38362.65,,,,,,,,,,,,,,,,,,,,,,,,,49308060.03,8766.63
[1B2a] Petróleo,19480277.81,20495833.97,38264.41,,,,,,,,,,,,,,,,,,,,,,,,,40014376.19,
1B2ai Venteo petróleo,6320174.15,8337948.12,,,,,,,,,,,,,,,,,,,,,,,,,,14658122.27,
1B2aii Quemado petróleo,13096077.02,12072020.22,38264.41,,,,,,,,,,,,,,,,,,,,,,,,,25206361.65,8766.63
