categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),475685913.69,183423339.63,36983589.72,594189.37,2005628.32,7004.32,36293.44,277.997,8136831.46,8496311.2,280709.76,160588.58,418226.73,42412.35,66189.03,24970.67,4545.99,1386631.91,15048.62,24307.79,2696.14,244.027,0.003,87.292,0.002,2424.65,400746.62,718199209.29,66789.92
EMISIONES Sin UTCUTS,451128081.79,182865286.33,36724815.96,594189.37,2005628.32,7004.32,36293.44,277.997,8136831.46,8496311.2,280709.76,160588.58,418226.73,42412.35,66189.03,24970.67,4545.99,1386631.91,15048.62,24307.79,2696.14,244.027,0.003,87.292,0.002,2424.65,400746.62,692824550.33,
EMISIONES NETAS (Emisiones + Absorciones),268916015.33,183423339.63,36983589.72,594189.37,2005628.32,7004.32,36293.44,277.997,8136831.46,8496311.2,280709.76,160588.58,418226.73,42412.35,66189.03,24970.67,4545.99,1386631.91,15048.62,24307.79,2696.14,244.027,0.003,87.292,0.002,2424.65,400746.62,511429310.93,
[1] Energía,401475426.34,31884486.56,1949295.94,,,,,,,,,,,,,,,,,,,,,,,,,435309208.83,58755.73
[1A] Actividades de quema del combustible,385688688.86,938424.17,1938352.29,,,,,,,,,,,,,,,,,,,,,,,,,388565465.32,50275.83
[1A1] Industrias de la energía,174518645.99,139905.94,213414.84,,,,,,,,,,,,,,,,,,,,,,,,,174871966.78,5401.03
[1A1a] Actividad principal producción de electricidad y calor,147501152.02,125631.4,197193.66,,,,,,,,,,,,,,,,,,,,,,,,,147823977.08,4828.73
[1A1b] Refinación del petróleo,8487015.21,5227.27,6892.29,,,,,,,,,,,,,,,,,,,,,,,,,8499134.76,506.764
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,18530478.76,9047.28,9328.9,,,,,,,,,,,,,,,,,,,,,,,,,18548854.94,65.53
1A1ci Fabricación de combustibles sólidos (coque de carbón),850280.91,4.251,,,,,,,,,,,,,,,,,,,,,,,,,,850285.16,
1A1cii Otras Industrias de la energía  ,17680197.86,9043.03,9328.9,,,,,,,,,,,,,,,,,,,,,,,,,17698569.78,65.53
[1A2] Industrias manufactura y de la construcción,63451074.45,114240.31,157177.39,,,,,,,,,,,,,,,,,,,,,,,,,63722492.15,695.795
[1A2a] Hierro y acero,5574174.75,2745.3,2672.18,,,,,,,,,,,,,,,,,,,,,,,,,5579592.23,18.54
[1A2b] Metales no ferrosos,2014095.03,1100.63,1343.37,,,,,,,,,,,,,,,,,,,,,,,,,2016539.03,11.669
[1A2c] Sustancias químicas,5325350.98,2766.46,2928.77,,,,,,,,,,,,,,,,,,,,,,,,,5331046.2,19.108
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,5301014.74,2746.92,2897.65,,,,,,,,,,,,,,,,,,,,,,,,,5306659.31,19.021
1A2ciii Fertilizantes,24336.24,19.535,31.123,,,,,,,,,,,,,,,,,,,,,,,,,24386.9,0.087
"[1A2d] Pulpa, papel e imprenta",2399396.02,1382.64,1688.2,,,,,,,,,,,,,,,,,,,,,,,,,2402466.86,21.486
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",514702.7,24729.35,31377.61,,,,,,,,,,,,,,,,,,,,,,,,,570809.65,319.717
1A2ei elaboración de azúcares,0.0,24300.2,30664.54,,,,,,,,,,,,,,,,,,,,,,,,,54964.74,315.613
1A2eii elaboración de bebidas,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1A2eiii elaboración de productos de tabaco,468663.47,380.415,620.826,,,,,,,,,,,,,,,,,,,,,,,,,469664.72,1.62
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,46039.22,48.733,92.244,,,,,,,,,,,,,,,,,,,,,,,,,46180.2,2.483
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,486927.62,270.409,315.192,,,,,,,,,,,,,,,,,,,,,,,,,487513.22,1.424
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,20249495.52,35430.59,54057.15,,,,,,,,,,,,,,,,,,,,,,,,,20338983.26,97.401
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,442654.14,510.399,966.112,,,,,,,,,,,,,,,,,,,,,,,,,444130.65,1.961
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,26444277.69,45304.54,61828.8,,,,,,,,,,,,,,,,,,,,,,,,,26551411.03,204.489
1A2mi Fabricación de vidrio y productos de vidrio,2396089.36,1179.2,1146.97,,,,,,,,,,,,,,,,,,,,,,,,,2398415.52,7.609
1A2mii Fabricación de productos de hule,495815.57,336.987,478.785,,,,,,,,,,,,,,,,,,,,,,,,,496631.34,3.077
1A2miii Otras ramas,23552372.76,43788.36,60203.05,,,,,,,,,,,,,,,,,,,,,,,,,23656364.17,193.803
[1A3] Transporte,117399171.17,333888.15,1199474.97,,,,,,,,,,,,,,,,,,,,,,,,,118932534.29,7816.21
[1A3a] Aviación civil,3682412.17,709.97,26877.43,,,,,,,,,,,,,,,,,,,,,,,,,3709999.57,52.095
[1A3b] Autotransporte,110722976.81,327042.76,984671.19,,,,,,,,,,,,,,,,,,,,,,,,,112034690.75,7648.2
[1A3c] Ferrocarriles,1718142.31,2740.51,178746.23,,,,,,,,,,,,,,,,,,,,,,,,,1899629.05,40.51
[1A3d] Navegación marítima y fluvial,1275639.88,3394.91,9180.12,,,,,,,,,,,,,,,,,,,,,,,,,1288214.91,75.402
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,30319797.25,350389.77,368285.09,,,,,,,,,,,,,,,,,,,,,,,,,31038472.11,36362.8
[1A4a] Comercial/institucional,3996425.46,8752.9,1656.8,,,,,,,,,,,,,,,,,,,,,,,,,4006835.16,1976.89
[1A4b] Residencial,16883389.98,305883.24,346579.73,,,,,,,,,,,,,,,,,,,,,,,,,17535852.95,34141.78
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,9439981.81,35753.63,20048.56,,,,,,,,,,,,,,,,,,,,,,,,,9495784.0,244.13
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,15786737.47,30946062.39,10943.64,,,,,,,,,,,,,,,,,,,,,,,,,46743743.51,8479.9
[1B1] Combustibles sólidos,50446.4,1774348.82,,,,,,,,,,,,,,,,,,,,,,,,,,1824795.22,
[1B1a] Minería carbonífera y manejo del carbón,50446.4,1774348.82,,,,,,,,,,,,,,,,,,,,,,,,,,1824795.22,
[1B1ai] Minas subterráneas,48042.86,1701945.81,,,,,,,,,,,,,,,,,,,,,,,,,,1749988.67,
[1B1aii] Minas superficie,2403.54,72403.01,,,,,,,,,,,,,,,,,,,,,,,,,,74806.55,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,15736291.07,29171713.57,10943.64,,,,,,,,,,,,,,,,,,,,,,,,,44918948.29,8479.9
[1B2a] Petróleo,12561750.9,22119268.4,10905.27,,,,,,,,,,,,,,,,,,,,,,,,,34691924.57,
1B2ai Venteo petróleo,2968441.36,9103229.05,,,,,,,,,,,,,,,,,,,,,,,,,,12071670.41,
1B2aii Quemado petróleo,9560596.51,12902436.25,10905.27,,,,,,,,,,,,,,,,,,,,,,,,,22473938.02,8479.9
1B2aiii Otras fugitivas petróleo,32713.04,113603.1,,,,,,,,,,,,,,,,,,,,,,,,,,146316.14,
[1B2b] Gas natural,3174540.18,7052445.17,38.379,,,,,,,,,,,,,,,,,,,,,,,,,10227023.72,
1B2bi Venteo gas natural,1516465.31,2494508.24,,,,,,,,,,,,,,,,,,,,,,,,,,4010973.54,
1B2bii Quemado gas natural,1655383.21,2114435.57,38.379,,,,,,,,,,,,,,,,,,,,,,,,,3769857.16,
1B2biii Otras fugitivas gas natural,2691.66,2443501.37,,,,,,,,,,,,,,,,,,,,,,,,,,2446193.03,
[2] Procesos industriales y uso de productos,46465766.41,210188.82,477443.47,594189.37,2005628.32,7004.32,36293.44,277.997,8136831.46,8496311.2,280709.76,160588.58,418226.73,42412.35,66189.03,24970.67,4545.99,1386631.91,15048.62,24307.79,2696.14,244.027,0.003,87.292,0.002,2424.65,400746.62,69259764.94,
[2A] Industria de los minerales,30678990.67,,,,,,,,,,,,,,,,,,,,,,,,,,,30678990.67,
[2A1] Producción de cemento,19337553.13,,,,,,,,,,,,,,,,,,,,,,,,,,,19337553.13,
[2A2] Producción de cal,2994851.55,,,,,,,,,,,,,,,,,,,,,,,,,,,2994851.55,
[2A3] Producción de vidrio,1038020.73,,,,,,,,,,,,,,,,,,,,,,,,,,,1038020.73,
[2A4] Otros usos de carbonatos,7308565.25,,,,,,,,,,,,,,,,,,,,,,,,,,,7308565.25,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2B] Industria química,2446915.18,208121.3,477151.52,593622.72,,,,,,,,,,,,,,,,,,,,,,,,3725810.72,
[2B1] Producción de amoniaco,163424.86,,,,,,,,,,,,,,,,,,,,,,,,,,,163424.86,
[2B2] Producción de ácido nítrico,,,458310.02,,,,,,,,,,,,,,,,,,,,,,,,,458310.02,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,18841.5,,,,,,,,,,,,,,,,,,,,,,,,,18841.5,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2B6] Producción de dióxido de titanio,386969.22,,,,,,,,,,,,,,,,,,,,,,,,,,,386969.22,
[2B7] Producción de ceniza de sosa,162616.93,,,,,,,,,,,,,,,,,,,,,,,,,,,162616.93,
[2B8] Producción petroquímica y negro de humo,1733904.17,208121.3,,,,,,,,,,,,,,,,,,,,,,,,,,1942025.47,
[2B9] Producción fluoroquímica,,,,593622.72,,,,,,,,,,,,,,,,,,,,,,,,593622.72,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2C] Industria de los metales,13306393.33,2067.51,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,13308460.84,
[2C1] Producción de hierro y acero,12921243.42,2067.51,,,,,,,,,,,,,,,,,,,,,,,,,,12923310.93,
[2C2] Producción de ferroaleaciones,281163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,281163.0,
[2C3] Producción de aluminio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C5] Producción de plomo,103986.91,,,,,,,,,,,,,,,,,,,,,,,,,,,103986.91,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,8202.49,,,,,,,,,,,,,,,,,,,,,,,,,,,8202.49,
[2D1] Uso de lubricantes,7696.38,,,,,,,,,,,,,,,,,,,,,,,,,,,7696.38,
[2D2] Uso de la cera de parafina,506.114,,,,,,,,,,,,,,,,,,,,,,,,,,,506.114,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2E] Industria electrónica,,,291.951,566.654,,,,,,,,,,,,,,,1.856,24307.79,2696.14,244.027,0.003,87.292,0.002,2424.65,2092.45,32712.81,
[2E1] Circuitos integrados o semiconductores,,,244.621,566.654,,,,,,,,,,,,,,,1.856,2181.44,1217.39,244.027,0.003,87.192,0.002,2207.21,1073.9,7824.29,
[2E2] Pantalla plana tipo TFT,,,47.33,,,,,,,,,,,,,,,,,45.117,,,,0.1,,217.436,1018.55,1328.54,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,22081.24,1478.74,,,,,,,23559.98,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,,,,,2005628.32,7004.32,36293.44,277.997,8136831.46,8496311.2,280709.76,160588.58,418226.73,42412.35,66189.03,24970.67,4545.99,1386631.91,15046.76,,,,,,,,,21081668.5,
[2F1] Refrigeración y aire acondicionado,,,,,2005628.32,,,,7434149.54,8496311.2,280709.76,,,,,,,1386631.91,15046.76,,,,,,,,,19618477.49,
[2F2] Agentes espumantes,,,,,,,,277.997,1757.8,,,160588.58,,,,21215.56,,,,,,,,,,,,183839.93,
[2F3] Protección contra incendios,,,,,,,36293.44,,,,,,,42412.35,66189.03,,4545.99,,,,,,,,,,,149440.81,
[2F4] Aerosoles,,,,,,,,,700924.12,,,,418226.73,,,3755.11,,,,,,,,,,,,1122905.96,
[2F5] Solventes,,,,,,7004.32,,,,,,,,,,,,,,,,,,,,,,7004.32,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G] Manufactura y utilización de otros productos,,,,,,,,,,,,,,,,,,,,,,,,,,,398654.17,398654.17,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,398654.17,398654.17,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2H] Otros,25264.74,,,,,,,,,,,,,,,,,,,,,,,,,,,25264.74,
[2H1] Industria de la pulpa y el papel,25264.74,,,,,,,,,,,,,,,,,,,,,,,,,,,25264.74,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3] Agricultura,1503697.06,97935184.61,28004205.09,,,,,,,,,,,,,,,,,,,,,,,,,127443086.76,3413.03
[3A] Fermentación entérica,,78022933.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,78022933.0,
[3A1] Bovino,,73676792.0,,,,,,,,,,,,,,,,,,,,,,,,,,73676792.0,
[3A2] Ovinos,,1636975.0,,,,,,,,,,,,,,,,,,,,,,,,,,1636975.0,
[3A3] Porcinos,,399792.0,,,,,,,,,,,,,,,,,,,,,,,,,,399792.0,
[3A4a] Búfalos,,352804.0,,,,,,,,,,,,,,,,,,,,,,,,,,352804.0,
[3A4b] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3A4d] Caprino,,1409383.0,,,,,,,,,,,,,,,,,,,,,,,,,,1409383.0,
[3A4e] Caballos,,437788.0,,,,,,,,,,,,,,,,,,,,,,,,,,437788.0,
[3A4f] Mulas y asnos,,109399.0,,,,,,,,,,,,,,,,,,,,,,,,,,109399.0,
[3A4h] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3B] Gestión del estiércol,,19125077.0,7860879.47,,,,,,,,,,,,,,,,,,,,,,,,,26985956.47,
[3B1] Bovino,,11388214.0,6440408.0,,,,,,,,,,,,,,,,,,,,,,,,,17828622.0,
[3B2] Ovinos,,38614.0,37062.0,,,,,,,,,,,,,,,,,,,,,,,,,75676.0,
[3B3] Porcinos,,5615566.0,509317.0,,,,,,,,,,,,,,,,,,,,,,,,,6124883.0,
[3B4a] Búfalos,,10377.0,34642.0,,,,,,,,,,,,,,,,,,,,,,,,,45019.0,
[3B4b] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
[3B4d] Caprino,,38843.0,22317.0,,,,,,,,,,,,,,,,,,,,,,,,,61160.0,
[3B4e] Caballos,,42370.0,334031.0,,,,,,,,,,,,,,,,,,,,,,,,,376401.0,
[3B4f] Mulas y asnos,,10798.0,74539.0,,,,,,,,,,,,,,,,,,,,,,,,,85337.0,
[3B4g] Aves de corral,,1980295.0,408563.47,,,,,,,,,,,,,,,,,,,,,,,,,2388858.47,
[3B4h] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3B5] Emisiones indirectas de los N2O de la gestión del estiércol,,,1447335.6,,,,,,,,,,,,,,,,,,,,,,,,,1447335.6,
[3C] Cultivo del arroz,,143441.88,,,,,,,,,,,,,,,,,,,,,,,,,,143441.88,
[3D1] Emisiones directas de los N2O de los suelos gestionados,,,12356260.2,,,,,,,,,,,,,,,,,,,,,,,,,12356260.2,
[3D2] Emisiones indirectas de los N2O de los suelos gestionados,,,6144191.86,,,,,,,,,,,,,,,,,,,,,,,,,6144191.86,
[3F] Emisiones de quemado de biomasa en tierras de cultivo,,643732.73,195537.96,,,,,,,,,,,,,,,,,,,,,,,,,839270.68,3413.03
[3G] Encalado,40149.54,,,,,,,,,,,,,,,,,,,,,,,,,,,40149.54,
[3H] aplicación de urea,1463547.52,,,,,,,,,,,,,,,,,,,,,,,,,,,1463547.52,
"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",-182212066.46,558053.3,258773.76,,,,,,,,,,,,,,,,,,,,,,,,,-181395239.4,3160.57
[4A] Tierra forestales,-182756333.04,,,,,,,,,,,,,,,,,,,,,,,,,,,-182756333.04,
[4A1] Tierras forestales que permanecen como tal,-178093945.84,,,,,,,,,,,,,,,,,,,,,,,,,,,-178093945.84,
[4A2] Tierras convertidas a tierras forestales,-4662387.19,,,,,,,,,,,,,,,,,,,,,,,,,,,-4662387.19,
[4B] Tierra de cultivo,-14484328.44,,,,,,,,,,,,,,,,,,,,,,,,,,,-14484328.44,
[4B1] Tierras de cultivo que permanecen como tal,-21626949.68,,,,,,,,,,,,,,,,,,,,,,,,,,,-21626949.68,
[4B2] Tierras convertidas a tierras de cultivo,7142621.24,,,,,,,,,,,,,,,,,,,,,,,,,,,7142621.24,
[4C] Praderas,15711833.82,,,,,,,,,,,,,,,,,,,,,,,,,,,15711833.82,
[4C1] Praderas que permanecen como tal,-470479.05,,,,,,,,,,,,,,,,,,,,,,,,,,,-470479.05,
[4C2] Tierras convertidas en praderas,16182312.87,,,,,,,,,,,,,,,,,,,,,,,,,,,16182312.87,
[4D] Humedales,100222.42,,,,,,,,,,,,,,,,,,,,,,,,,,,100222.42,
[4D1] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4D2] Tierras convertidas en humedales,100222.42,,,,,,,,,,,,,,,,,,,,,,,,,,,100222.42,
[4E] Asentamientos ,740313.64,,,,,,,,,,,,,,,,,,,,,,,,,,,740313.64,
[4E1] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4E2] Tierras convertidas en asentamientos,740313.64,,,,,,,,,,,,,,,,,,,,,,,,,,,740313.64,
[4F] Otras tierras ,392361.73,,,,,,,,,,,,,,,,,,,,,,,,,,,392361.73,
