categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),357114894.73,123693895.12,29340774.79,1632008.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325761.07,86921.83,0,0,0,0,0,65246.11,512259502.29,85684.54
EMISIONES Sin UTCUTS,350326373.29,123069471.16,29101551.41,1632008.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325761.07,86921.83,0,0,0,0,0,65246.11,504607333.5,
EMISIONES NETAS (Emisiones + Absorciones),154468527.2,123693895.12,29340774.79,1632008.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325761.07,86921.83,0,0,0,0,0,65246.11,309613134.76,
[1] Energía,312382815.3,22190595.5,3155479.53,,,,,,,,,,,,,,,,,,,,,,,,,337728890.33,78743.59
[1A] Actividades de quema del combustible,293922686.7,883361.95,3126123.15,,,,,,,,,,,,,,,,,,,,,,,,,297932171.8,72103.37
[1A1] Industrias de la energía,117435515.56,106874.98,236766.29,,,,,,,,,,,,,,,,,,,,,,,,,117779156.83,15006.83
[1A1a] Actividad principal producción de electricidad y calor,86867561.97,85018.63,203086.23,,,,,,,,,,,,,,,,,,,,,,,,,87155666.83,13018.35
[1A1b] Refinación del petróleo,9797864.02,8973.34,15874.67,,,,,,,,,,,,,,,,,,,,,,,,,9822712.03,1683.2
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,20770089.57,12883.02,17805.38,,,,,,,,,,,,,,,,,,,,,,,,,20800777.97,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1162081.13,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,1162086.94,
1A1cii Otras Industrias de la energía  ,19608008.45,12877.21,17805.38,,,,,,,,,,,,,,,,,,,,,,,,,19638691.03,305.281
[1A2] Industrias manufactura y de la construcción,43672908.98,92534.46,131151.8,,,,,,,,,,,,,,,,,,,,,,,,,43896595.24,1842.03
[1A2a] Hierro y acero,5394249.58,3731.69,5479.13,,,,,,,,,,,,,,,,,,,,,,,,,5403460.41,110.863
[1A2b] Metales no ferrosos,2707168.83,1849.02,2674.23,,,,,,,,,,,,,,,,,,,,,,,,,2711692.09,35.563
[1A2c] Sustancias químicas,8387140.66,6494.98,10390.85,,,,,,,,,,,,,,,,,,,,,,,,,8404026.48,217.833
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,7532237.09,5897.98,9507.43,,,,,,,,,,,,,,,,,,,,,,,,,7547642.49,199.453
1A2ciii Fertilizantes,854903.57,597.004,883.419,,,,,,,,,,,,,,,,,,,,,,,,,856383.99,18.38
"[1A2d] Pulpa, papel e imprenta",2541918.92,2066.39,3391.93,,,,,,,,,,,,,,,,,,,,,,,,,2547377.24,64.932
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",4186985.61,4129.81,7566.93,,,,,,,,,,,,,,,,,,,,,,,,,4198682.35,189.575
1A2ei elaboración de azúcares,2979088.64,3149.92,5962.34,,,,,,,,,,,,,,,,,,,,,,,,,2988200.9,162.498
1A2eii elaboración de bebidas,408761.58,368.723,636.84,,,,,,,,,,,,,,,,,,,,,,,,,409767.14,6.148
1A2eiii elaboración de productos de tabaco,18592.5,11.664,15.651,,,,,,,,,,,,,,,,,,,,,,,,,18619.81,0.275
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,780542.89,599.51,952.094,,,,,,,,,,,,,,,,,,,,,,,,,782094.49,20.655
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
