categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),568907554.66,160897318.28,39106804.95,2335378.18,1390856.29,12836.68,33694.61,282.215,7180111.07,7849256.45,240784.68,486911.31,482525.22,37478.67,71819.69,47838.32,1073.52,1293378.77,1.712,22749.31,2508.33,225.081,0.003,80.531,0.002,2272.45,278664.1,790682405.07,74935.65
EMISIONES Sin UTCUTS,543261071.51,160399687.48,38826050.58,2335378.18,1390856.29,12836.68,33694.61,282.215,7180111.07,7849256.45,240784.68,486911.31,482525.22,37478.67,71819.69,47838.32,1073.52,1293378.77,1.712,22749.31,2508.33,225.081,0.003,80.531,0.002,2272.45,278664.1,764257536.75,
EMISIONES NETAS (Emisiones + Absorciones),361179865.14,160897318.28,39106804.95,2335378.18,1390856.29,12836.68,33694.61,282.215,7180111.07,7849256.45,240784.68,486911.31,482525.22,37478.67,71819.69,47838.32,1073.52,1293378.77,1.712,22749.31,2508.33,225.081,0.003,80.531,0.002,2272.45,278664.1,582954715.55,
[1] Energía,487862938.52,17023038.6,2852365.72,,,,,,,,,,,,,,,,,,,,,,,,,507738342.83,67062.2
[1A] Actividades de quema del combustible,476825717.78,1109933.29,2835744.28,,,,,,,,,,,,,,,,,,,,,,,,,480771395.34,61391.47
[1A1] Industrias de la energía,198933743.44,154682.06,300036.07,,,,,,,,,,,,,,,,,,,,,,,,,199388461.57,8168.94
[1A1a] Actividad principal producción de electricidad y calor,167973687.36,138100.72,280456.83,,,,,,,,,,,,,,,,,,,,,,,,,168392244.91,7121.64
[1A1b] Refinación del petróleo,9217345.61,6180.3,8841.2,,,,,,,,,,,,,,,,,,,,,,,,,9232367.11,742.019
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,21742710.47,10401.04,10738.04,,,,,,,,,,,,,,,,,,,,,,,,,21763849.55,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1123151.97,5.616,,,,,,,,,,,,,,,,,,,,,,,,,,1123157.59,
1A1cii Otras Industrias de la energía  ,20619558.5,10395.42,10738.04,,,,,,,,,,,,,,,,,,,,,,,,,20640691.96,305.281
[1A2] Industrias manufactura y de la construcción,61449964.1,104572.17,139645.54,,,,,,,,,,,,,,,,,,,,,,,,,61694181.81,724.945
[1A2a] Hierro y acero,6404560.05,3143.66,3041.04,,,,,,,,,,,,,,,,,,,,,,,,,6410744.75,19.86
[1A2b] Metales no ferrosos,1656766.08,954.059,1203.66,,,,,,,,,,,,,,,,,,,,,,,,,1658923.8,6.723
[1A2c] Sustancias químicas,6010781.83,3158.16,3395.76,,,,,,,,,,,,,,,,,,,,,,,,,6017335.74,19.88
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,5980749.96,3135.72,3361.67,,,,,,,,,,,,,,,,,,,,,,,,,5987247.36,19.776
1A2ciii Fertilizantes,30031.87,22.432,34.087,,,,,,,,,,,,,,,,,,,,,,,,,30088.39,0.103
"[1A2d] Pulpa, papel e imprenta",2629626.75,1463.6,1708.68,,,,,,,,,,,,,,,,,,,,,,,,,2632799.02,17.139
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",650457.69,29165.83,37041.1,,,,,,,,,,,,,,,,,,,,,,,,,716664.61,375.075
1A2ei elaboración de azúcares,0.0,28606.71,36098.94,,,,,,,,,,,,,,,,,,,,,,,,,64705.65,371.547
1A2eii elaboración de bebidas,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1A2eiii elaboración de productos de tabaco,623399.88,530.435,887.854,,,,,,,,,,,,,,,,,,,,,,,,,624818.17,2.093
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,27057.81,28.688,54.303,,,,,,,,,,,,,,,,,,,,,,,,,27140.8,1.435
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,568954.22,336.303,421.459,,,,,,,,,,,,,,,,,,,,,,,,,569711.98,1.71
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,7519959.11,8310.27,13698.91,,,,,,,,,,,,,,,,,,,,,,,,,7541968.29,40.956
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,453081.05,522.421,988.869,,,,,,,,,,,,,,,,,,,,,,,,,454592.34,2.008
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,35555777.33,57517.87,78146.06,,,,,,,,,,,,,,,,,,,,,,,,,35691441.26,241.595
1A2mi Fabricación de vidrio y productos de vidrio,2719612.93,1332.85,1286.73,,,,,,,,,,,,,,,,,,,,,,,,,2722232.51,8.184
1A2mii Fabricación de productos de hule,569071.56,405.78,597.552,,,,,,,,,,,,,,,,,,,,,,,,,570074.89,2.87
1A2miii Otras ramas,32267092.84,55779.24,76261.79,,,,,,,,,,,,,,,,,,,,,,,,,32399133.86,230.541
[1A3] Transporte,181275024.12,483485.69,2018642.44,,,,,,,,,,,,,,,,,,,,,,,,,183777152.25,14534.26
