categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,Unnamed: 29,emision_neta_carbono_negro_t
[1A4] Otros sectores,31713801.09,303117.71,306063.15,,,,,,,,,,,,,,,,,,,,,,,,,32322981.95,,33756.99
[1A4a] Comercial/institucional,4837069.01,10901.52,2365.94,,,,,,,,,,,,,,,,,,,,,,,,,4850336.47,,2367.52
[1A4b] Residencial,19780260.1,265571.11,288869.84,,,,,,,,,,,,,,,,,,,,,,,,,20334701.05,,31127.58
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,7096471.98,26645.08,14827.37,,,,,,,,,,,,,,,,,,,,,,,,,7137944.43,,261.89
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,15865194.133,24461915.994,20981.639,,,,,,,,,,,,,,,,,,,,,,,,,40348091.766,,4659.287
[1B1] Combustibles sólidos,74241.03,2611276.41,,,,,,,,,,,,,,,,,,,,,,,,,,2685517.44,,
[1B1a] Minería carbonífera y manejo del carbón,74241.03,2611276.41,,,,,,,,,,,,,,,,,,,,,,,,,,2685517.44,,
[1B1ai] Minas subterráneas,70703.79,2504722.24,,,,,,,,,,,,,,,,,,,,,,,,,,2575426.03,,
[1B1aii] Minas superficie,3537.24,106554.17,,,,,,,,,,,,,,,,,,,,,,,,,,110091.41,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,15790953.103,21850639.584,20981.639,,,,,,,,,,,,,,,,,,,,,,,,,37662574.326,,4659.287
[1B2a] Petróleo,13566427.85,15484886.281,20898.299,,,,,,,,,,,,,,,,,,,,,,,,,29072212.429,,
1B2ai Venteo petróleo,6447410.41,9089088.314,,,,,,,,,,,,,,,,,,,,,,,,,,15536498.724,,
1B2aii Quemado petróleo,7048604.46,6327740.837,20898.299,,,,,,,,,,,,,,,,,,,,,,,,,13397243.596,,4659.287
1B2aiii Otras fugitivas petróleo,70412.98,68057.129,,,,,,,,,,,,,,,,,,,,,,,,,,138470.109,,
[1B2b] Gas natural,2224525.253,6365753.304,83.34,,,,,,,,,,,,,,,,,,,,,,,,,8590361.897,,
1B2bi Venteo gas natural,2086274.67,2444434.341,,,,,,,,,,,,,,,,,,,,,,,,,,4530709.011,,
1B2bii Quemado gas natural,132639.666,2474.933,83.34,,,,,,,,,,,,,,,,,,,,,,,,,135197.939,,
1B2biii Otras fugitivas gas natural,5610.917,3918844.03,,,,,,,,,,,,,,,,,,,,,,,,,,3924454.947,,
[2] Procesos industriales y uso de productos,51456821.923,216418.724,363284.694,3784138.996,1882.505,0.0,0.0,0.0,2194032.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,1012.943,565.292,113.313,0.001,40.487,0.001,1024.911,117439.653,58136777.184,,
[2A] Industria de los minerales,31876470.331,,,,,,,,,,,,,,,,,,,,,,,,,,,31876470.331,,
[2A1] Producción de cemento,17592604.581,,,,,,,,,,,,,,,,,,,,,,,,,,,17592604.581,,
[2A2] Producción de cal,2667353.69,,,,,,,,,,,,,,,,,,,,,,,,,,,2667353.69,,
