categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),520579415.26,187800590.73,39933922.42,1039037.86,4564580.17,8943.0,195029.04,269.751,10194763.77,14551667.22,321131.6,178733.47,1122765.23,55048.33,76470.25,21848.02,31321.35,2278314.82,123353.06,28532.01,3139.75,280.75,0.003,100.43,0.002,2792.97,401077.5,783513128.76,82187.79
EMISIONES Sin UTCUTS,499891753.83,183632624.16,37969045.58,1039037.86,4564580.17,8943.0,195029.04,269.751,10194763.77,14551667.22,321131.6,178733.47,1122765.23,55048.33,76470.25,21848.02,31321.35,2278314.82,123353.06,28532.01,3139.75,280.75,0.003,100.43,0.002,2792.97,401077.5,756692623.92,
EMISIONES NETAS (Emisiones + Absorciones),310759625.87,187800590.73,39933922.42,1039037.86,4564580.17,8943.0,195029.04,269.751,10194763.77,14551667.22,321131.6,178733.47,1122765.23,55048.33,76470.25,21848.02,31321.35,2278314.82,123353.06,28532.01,3139.75,280.75,0.003,100.43,0.002,2792.97,401077.5,573693339.37,
[1] Energía,454376415.91,20292291.85,2261294.11,,,,,,,,,,,,,,,,,,,,,,,,,476930001.86,67904.8
[1A] Actividades de quema del combustible,435826878.56,1222303.32,2252772.43,,,,,,,,,,,,,,,,,,,,,,,,,439301954.31,56033.97
[1A1] Industrias de la energía,172995505.26,130858.72,210032.97,,,,,,,,,,,,,,,,,,,,,,,,,173336396.95,5284.45
[1A1a] Actividad principal producción de electricidad y calor,148478115.11,116887.23,192529.97,,,,,,,,,,,,,,,,,,,,,,,,,148787532.31,4488.84
[1A1b] Refinación del petróleo,10251174.0,6451.0,8443.0,,,,,,,,,,,,,,,,,,,,,,,,,10266068.0,612.85
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,14266216.15,7520.49,9060.0,,,,,,,,,,,,,,,,,,,,,,,,,14282796.64,182.76
1A1ci Fabricación de combustibles sólidos (coque de carbón),297918.15,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,297919.64,
1A1cii Otras Industrias de la energía  ,13968298.0,7519.0,9060.0,,,,,,,,,,,,,,,,,,,,,,,,,13984877.0,182.76
[1A2] Industrias manufactura y de la construcción,61632947.09,86016.97,117147.92,,,,,,,,,,,,,,,,,,,,,,,,,61836111.98,644.578
[1A2a] Hierro y acero,6548149.29,3212.12,3103.46,,,,,,,,,,,,,,,,,,,,,,,,,6554464.88,19.87
[1A2b] Metales no ferrosos,2039699.67,1209.35,1557.74,,,,,,,,,,,,,,,,,,,,,,,,,2042466.76,11.518
