categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),353411192.54,117287125.54,30086773.56,695282.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51492.87,501531867.4,85537.31
EMISIONES Sin UTCUTS,346623868.39,116955253.86,29952369.1,695282.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51492.87,494278267.1,
EMISIONES NETAS (Emisiones + Absorciones),149096517.34,117287125.54,30086773.56,695282.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51492.87,297217192.19,
[1] Energía,310954926.66,14760241.81,3212393.19,,,,,,,,,,,,,,,,,,,,,,,,,328927561.66,79942.92
[1A] Actividades de quema del combustible,298709047.52,878095.94,3200830.1,,,,,,,,,,,,,,,,,,,,,,,,,302787973.56,77531.84
[1A1] Industrias de la energía,123920963.81,102281.96,222342.22,,,,,,,,,,,,,,,,,,,,,,,,,124245587.98,16230.15
[1A1a] Actividad principal producción de electricidad y calor,87788813.72,75804.24,181142.77,,,,,,,,,,,,,,,,,,,,,,,,,88045760.73,14075.15
[1A1b] Refinación del petróleo,10374374.95,9681.91,17295.29,,,,,,,,,,,,,,,,,,,,,,,,,10401352.16,1849.72
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,25757775.14,16795.8,23904.15,,,,,,,,,,,,,,,,,,,,,,,,,25798475.1,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1055876.36,5.279,,,,,,,,,,,,,,,,,,,,,,,,,,1055881.64,
1A1cii Otras Industrias de la energía  ,24701898.79,16790.52,23904.15,,,,,,,,,,,,,,,,,,,,,,,,,24742593.46,305.281
[1A2] Industrias manufactura y de la construcción,41923691.89,97125.98,137916.45,,,,,,,,,,,,,,,,,,,,,,,,,42158734.32,1955.12
[1A2a] Hierro y acero,3137963.32,2442.5,3918.26,,,,,,,,,,,,,,,,,,,,,,,,,3144324.08,88.017
[1A2b] Metales no ferrosos,1874180.83,1375.19,2100.57,,,,,,,,,,,,,,,,,,,,,,,,,1877656.59,30.048
[1A2c] Sustancias químicas,7314754.69,6029.74,10042.65,,,,,,,,,,,,,,,,,,,,,,,,,7330827.08,221.281
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,6617098.93,5503.59,9216.83,,,,,,,,,,,,,,,,,,,,,,,,,6631819.35,202.806
1A2ciii Fertilizantes,697655.76,526.148,825.82,,,,,,,,,,,,,,,,,,,,,,,,,699007.73,18.475
"[1A2d] Pulpa, papel e imprenta",2367082.65,2038.56,3464.5,,,,,,,,,,,,,,,,,,,,,,,,,2372585.7,69.203
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",3485278.69,3473.34,6390.87,,,,,,,,,,,,,,,,,,,,,,,,,3495142.91,157.491
1A2ei elaboración de azúcares,2366745.2,2502.44,4736.77,,,,,,,,,,,,,,,,,,,,,,,,,2373984.41,129.105
1A2eii elaboración de bebidas,442424.75,414.705,730.204,,,,,,,,,,,,,,,,,,,,,,,,,443569.66,7.327
