categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),328635169.79,114862695.56,29713381.69,566392.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223834.1,59724.97,0,0,0,0,0,43436.97,474104635.4,80494.56
EMISIONES Sin UTCUTS,321632873.85,114759092.71,29671423.65,566392.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223834.1,59724.97,0,0,0,0,0,43436.97,466956778.56,
EMISIONES NETAS (Emisiones + Absorciones),123446089.01,114862695.56,29713381.69,566392.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223834.1,59724.97,0,0,0,0,0,43436.97,268915554.62,
[1] Energía,289789970.48,13814758.8,3039495.89,,,,,,,,,,,,,,,,,,,,,,,,,306644225.17,75985.11
[1A] Actividades de quema del combustible,278940848.29,887566.25,3029923.28,,,,,,,,,,,,,,,,,,,,,,,,,282858337.82,74046.71
[1A1] Industrias de la energía,109466475.4,92136.13,184078.03,,,,,,,,,,,,,,,,,,,,,,,,,109742689.55,13563.48
[1A1a] Actividad principal producción de electricidad y calor,71170899.12,62725.32,141218.84,,,,,,,,,,,,,,,,,,,,,,,,,71374843.28,11616.93
[1A1b] Refinación del petróleo,9276249.5,8623.22,15373.34,,,,,,,,,,,,,,,,,,,,,,,,,9300246.06,1641.27
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,29019326.77,20787.6,27485.84,,,,,,,,,,,,,,,,,,,,,,,,,29067600.21,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1081557.6,5.408,,,,,,,,,,,,,,,,,,,,,,,,,,1081563.01,
