categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),330035617.92,116562747.12,28429654.17,869860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136705.3,36476.65,0,0,0,0,0,47776.48,476118837.64,83196.46
EMISIONES Sin UTCUTS,323227135.46,116014364.35,28207565.04,869860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136705.3,36476.65,0,0,0,0,0,47776.48,468539883.28,
EMISIONES NETAS (Emisiones + Absorciones),125341920.45,116562747.12,28429654.17,869860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136705.3,36476.65,0,0,0,0,0,47776.48,271425140.17,
[1] Energía,290823603.4,14786905.3,3095407.55,,,,,,,,,,,,,,,,,,,,,,,,,308705916.24,76789.37
[1A] Actividades de quema del combustible,278661701.75,868630.94,3083582.87,,,,,,,,,,,,,,,,,,,,,,,,,282613915.56,74307.31
[1A1] Industrias de la energía,107960061.08,88495.74,192322.18,,,,,,,,,,,,,,,,,,,,,,,,,108240878.99,13641.79
[1A1a] Actividad principal producción de electricidad y calor,73045097.56,63421.28,150285.02,,,,,,,,,,,,,,,,,,,,,,,,,73258803.87,11791.45
[1A1b] Refinación del petróleo,8940025.32,8212.38,14551.32,,,,,,,,,,,,,,,,,,,,,,,,,8962789.02,1545.06
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,25974938.19,16862.08,27485.84,,,,,,,,,,,,,,,,,,,,,,,,,26019286.11,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1033054.62,5.165,,,,,,,,,,,,,,,,,,,,,,,,,,1033059.79,
1A1cii Otras Industrias de la energía  ,24941883.57,16856.91,27485.84,,,,,,,,,,,,,,,,,,,,,,,,,24986226.32,305.281
[1A2] Industrias manufactura y de la construcción,41155276.03,108228.03,151365.92,,,,,,,,,,,,,,,,,,,,,,,,,41414869.98,1997.77
[1A2a] Hierro y acero,3238196.59,2395.61,3707.58,,,,,,,,,,,,,,,,,,,,,,,,,3244299.77,80.099
[1A2b] Metales no ferrosos,1903219.05,1371.27,2066.82,,,,,,,,,,,,,,,,,,,,,,,,,1906657.14,29.193
[1A2c] Sustancias químicas,6726986.34,5426.1,8911.23,,,,,,,,,,,,,,,,,,,,,,,,,6741323.67,193.781
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,6090199.16,4989.56,8275.47,,,,,,,,,,,,,,,,,,,,,,,,,6103464.18,181.085
1A2ciii Fertilizantes,636787.18,436.548,635.762,,,,,,,,,,,,,,,,,,,,,,,,,637859.49,12.696
"[1A2d] Pulpa, papel e imprenta",2364019.14,2006.9,3382.7,,,,,,,,,,,,,,,,,,,,,,,,,2369408.74,67.079
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",3886712.98,3897.94,7195.55,,,,,,,,,,,,,,,,,,,,,,,,,3897806.46,179.905
1A2ei elaboración de azúcares,2802795.05,2963.52,5609.52,,,,,,,,,,,,,,,,,,,,,,,,,2811368.09,152.879
1A2eii elaboración de bebidas,427645.87,394.66,690.007,,,,,,,,,,,,,,,,,,,,,,,,,428730.54,6.949
1A2eiii elaboración de productos de tabaco,15858.78,10.612,15.132,,,,,,,,,,,,,,,,,,,,,,,,,15884.52,0.292
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,640413.29,529.144,880.887,,,,,,,,,,,,,,,,,,,,,,,,,641823.32,19.786
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,203507.28,109.116,127.916,,,,,,,,,,,,,,,,,,,,,,,,,203744.31,0.549
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,7016906.47,7100,13185.39,,,,,,,,,,,,,,,,,,,,,,,,,7037191.86,212.364
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,383049.35,441.672,836.022,,,,,,,,,,,,,,,,,,,,,,,,,384327.04,1.697
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,15432678.83,85479.42,111952.73,,,,,,,,,,,,,,,,,,,,,,,,,15630110.98,1233.11
1A2mi Fabricación de vidrio y productos de vidrio,1447266.78,823.088,985.138,,,,,,,,,,,,,,,,,,,,,,,,,1449075,9.939
1A2mii Fabricación de productos de hule,181825.08,144.312,231.107,,,,,,,,,,,,,,,,,,,,,,,,,182200.5,2.779
1A2miii Otras ramas,13803586.97,84512.02,110736.48,,,,,,,,,,,,,,,,,,,,,,,,,13998835.48,1220.39
[1A3] Transporte,100679893.59,366637.9,2423758.74,,,,,,,,,,,,,,,,,,,,,,,,,103470290.23,24147.02
[1A3a] Aviación civil,4446907.92,857.386,32458.18,,,,,,,,,,,,,,,,,,,,,,,,,4480223.49,0.88
