categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),514305166.27,149453445.46,37478289.7,2382076.88,307610.17,12976.35,3301.87,0.0,5089422.39,5944675.59,64595.11,293083.5,102460.32,4894.73,6139.51,0.0,0.0,508309.79,1.063,16905.75,1745.76,139.77,0.002,49.94,0.001,1264.22,164339.73,716140893.88,77871.21
EMISIONES Sin UTCUTS,497821538.73,148845776.02,37197587.81,2382076.88,307610.17,12976.35,3301.87,0.0,5089422.39,5944675.59,64595.11,293083.5,102460.32,4894.73,6139.51,0.0,0.0,508309.79,1.063,16905.75,1745.76,139.77,0.002,49.94,0.001,1264.22,164339.73,698768895.01,
EMISIONES NETAS (Emisiones + Absorciones),309116403.49,149453445.46,37478289.7,2382076.88,307610.17,12976.35,3301.87,0.0,5089422.39,5944675.59,64595.11,293083.5,102460.32,4894.73,6139.51,0.0,0.0,508309.79,1.063,16905.75,1745.76,139.77,0.002,49.94,0.001,1264.22,164339.73,510952131.09,
[1] Energía,446800683.04,22052553.82,3178723.62,,,,,,,,,,,,,,,,,,,,,,,,,472031960.48,70076.42
[1A] Actividades de quema del combustible,434485215.11,1056672.89,3166503.12,,,,,,,,,,,,,,,,,,,,,,,,,438708391.12,67462.35
[1A1] Industrias de la energía,195475396.0,166085.73,344100.36,,,,,,,,,,,,,,,,,,,,,,,,,195985582.09,11580.73
[1A1a] Actividad principal producción de electricidad y calor,153415318.65,140764.42,310570.6,,,,,,,,,,,,,,,,,,,,,,,,,153866653.67,10160.82
[1A1b] Refinación del petróleo,12835099.41,8837.19,12934.13,,,,,,,,,,,,,,,,,,,,,,,,,12856870.72,1114.62
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,29224977.94,16484.13,20595.63,,,,,,,,,,,,,,,,,,,,,,,,,29262057.7,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1544771.44,7.724,,,,,,,,,,,,,,,,,,,,,,,,,,1544779.17,
1A1cii Otras Industrias de la energía  ,27680206.5,16476.4,20595.63,,,,,,,,,,,,,,,,,,,,,,,,,27717278.53,305.281
