categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),398408792.63,128470017.37,32532765.45,1809667.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,412102.48,110022.52,23.998,0,8.575,0,217.059,68657.54,561812274.88,55902.94
EMISIONES Sin UTCUTS,391727260.03,127962008.16,32313001.64,1809667.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,412102.48,110022.52,23.998,0,8.575,0,217.059,68657.54,554402969.27,
EMISIONES NETAS (Emisiones + Absorciones),194795226.57,128470017.37,32532765.45,1809667.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,412102.48,110022.52,23.998,0,8.575,0,217.059,68657.54,358198708.82,
[1] Energía,345664353.32,24929976.93,3302103.65,,,,,,,,,,,,,,,,,,,,,,,,,373896433.9,49231.95
[1A] Actividades de quema del combustible,325996058.34,953402.17,3268917.53,,,,,,,,,,,,,,,,,,,,,,,,,330218378.03,41668.01
[1A1] Industrias de la energía,138687864.16,142293.44,293389.04,,,,,,,,,,,,,,,,,,,,,,,,,139123546.64,18358.05
[1A1a] Actividad principal producción de electricidad y calor,106336324.07,119226.98,257973.19,,,,,,,,,,,,,,,,,,,,,,,,,106713524.23,16235.49
[1A1b] Refinación del petróleo,11587265.68,10148.34,17524.23,,,,,,,,,,,,,,,,,,,,,,,,,11614938.26,1817.28
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,20764274.41,12918.12,17891.62,,,,,,,,,,,,,,,,,,,,,,,,,20795084.15,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1180957.55,5.905,,,,,,,,,,,,,,,,,,,,,,,,,,1180963.45,
1A1cii Otras Industrias de la energía  ,19583316.87,12912.22,17891.62,,,,,,,,,,,,,,,,,,,,,,,,,19614120.7,305.281
[1A2] Industrias manufactura y de la construcción,46414604.77,79118.15,113420.62,,,,,,,,,,,,,,,,,,,,,,,,,46607143.55,1596.56
[1A2a] Hierro y acero,4773225.48,3320.65,4900.66,,,,,,,,,,,,,,,,,,,,,,,,,4781446.79,99.146
[1A2b] Metales no ferrosos,2960867.97,1908.81,2635.18,,,,,,,,,,,,,,,,,,,,,,,,,2965411.95,31.822
[1A2c] Sustancias químicas,9515894.99,7021.42,10869.08,,,,,,,,,,,,,,,,,,,,,,,,,9533785.49,214.254
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,8727474.85,6499.02,10130.29,,,,,,,,,,,,,,,,,,,,,,,,,8744104.15,199.855
1A2ciii Fertilizantes,788420.14,522.4,738.797,,,,,,,,,,,,,,,,,,,,,,,,,789681.33,14.399
"[1A2d] Pulpa, papel e imprenta",2689560.76,2101.87,3362.63,,,,,,,,,,,,,,,,,,,,,,,,,2695025.26,60.989
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",4347932.31,4146.82,7478.8,,,,,,,,,,,,,,,,,,,,,,,,,4359557.93,182.407
1A2ei elaboración de azúcares,2803477.1,2964.28,5610.95,,,,,,,,,,,,,,,,,,,,,,,,,2812052.33,152.898
1A2eii elaboración de bebidas,535907.29,451.251,754.06,,,,,,,,,,,,,,,,,,,,,,,,,537112.6,6.661
1A2eiii elaboración de productos de tabaco,24731.95,14.777,18.835,,,,,,,,,,,,,,,,,,,,,,,,,24765.56,0.304
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,983815.97,716.516,1094.95,,,,,,,,,,,,,,,,,,,,,,,,,985627.44,22.543
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,442156.52,218.393,231.418,,,,,,,,,,,,,,,,,,,,,,,,,442606.33,1.137
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,7894814.69,7592.51,14012.74,,,,,,,,,,,,,,,,,,,,,,,,,7916419.94,193.788
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,408037.16,470.484,890.559,,,,,,,,,,,,,,,,,,,,,,,,,409398.21,1.808
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,13382114.9,52337.21,69039.56,,,,,,,,,,,,,,,,,,,,,,,,,13503491.67,811.213
1A2mi Fabricación de vidrio y productos de vidrio,1864292.71,1077.54,1314.36,,,,,,,,,,,,,,,,,,,,,,,,,1866684.62,13.049
1A2mii Fabricación de productos de hule,317413.45,227.092,337.356,,,,,,,,,,,,,,,,,,,,,,,,,317977.9,3.223
1A2miii Otras ramas,11200408.74,51032.57,67387.84,,,,,,,,,,,,,,,,,,,,,,,,,11318829.15,794.941
[1A3] Transporte,110279032.05,417047.47,2537998.19,,,,,,,,,,,,,,,,,,,,,,,,,113234077.72,21713.4
[1A3a] Aviación civil,5498659.96,1060.16,40134.6,,,,,,,,,,,,,,,,,,,,,,,,,5539854.73,77.839
[1A3b] Autotransporte,99489794.25,403648.02,2305630.79,,,,,,,,,,,,,,,,,,,,,,,,,102199073.06,21328.13
[1A3c] Ferrocarriles,1593100.64,2541.06,165737.57,,,,,,,,,,,,,,,,,,,,,,,,,1761379.27,37.565
[1A3d] Navegación marítima y fluvial,3697477.2,9798.24,26495.23,,,,,,,,,,,,,,,,,,,,,,,,,3733770.67,269.866
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A4] Otros sectores,30614557.36,314943.1,324109.67,,,,,,,,,,,,,,,,,,,,,,,,,31253610.13,0
[1A4a] Comercial/institucional,4357440.27,9918.71,2251.54,,,,,,,,,,,,,,,,,,,,,,,,,4369610.52,
[1A4b] Residencial,19905333.15,281544.43,308973.88,,,,,,,,,,,,,,,,,,,,,,,,,20495851.46,
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,6351783.94,23479.96,12884.25,,,,,,,,,,,,,,,,,,,,,,,,,6388148.15,
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,19668294.99,23976574.76,33186.12,,,,,,,,,,,,,,,,,,,,,,,,,43678055.86,7563.94
[1B1] Combustibles sólidos,90757.99,3192226.62,,,,,,,,,,,,,,,,,,,,,,,,,,3282984.61,
[1B1a] Minería carbonífera y manejo del carbón,90757.99,3192226.62,,,,,,,,,,,,,,,,,,,,,,,,,,3282984.61,
[1B1ai] Minas subterráneas,86433.79,3061966.54,,,,,,,,,,,,,,,,,,,,,,,,,,3148400.33,
[1B1aii] Minas superficie,4324.2,130260.08,,,,,,,,,,,,,,,,,,,,,,,,,,134584.28,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1B2] Petróleo y gas natural,19577537,20784348.14,33186.12,,,,,,,,,,,,,,,,,,,,,,,,,40395071.25,7563.94
[1B2a] Petróleo,17359133.06,17191616.29,33147.07,,,,,,,,,,,,,,,,,,,,,,,,,34583896.43,
1B2ai Venteo petróleo,5988391.73,6739575.39,,,,,,,,,,,,,,,,,,,,,,,,,,12727967.12,
1B2aii Quemado petróleo,11321654.09,10393655.79,33147.07,,,,,,,,,,,,,,,,,,,,,,,,,21748456.95,7563.94
1B2aiii Otras fugitivas petróleo,49087.25,58385.11,,,,,,,,,,,,,,,,,,,,,,,,,,107472.36,
[1B2b] Gas natural,2218403.93,3592731.85,39.05,,,,,,,,,,,,,,,,,,,,,,,,,5811174.83,
1B2bi Venteo gas natural,2000268.55,1335283.92,,,,,,,,,,,,,,,,,,,,,,,,,,3335552.47,
1B2bii Quemado gas natural,215327.88,4018.68,39.05,,,,,,,,,,,,,,,,,,,,,,,,,219385.61,
1B2biii Otras fugitivas gas natural,2807.5,2253429.24,,,,,,,,,,,,,,,,,,,,,,,,,,2256236.74,
[2] Procesos industriales y uso de productos,44482927.99,221240.1,1020815.98,1809667.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,412102.48,110022.52,23.998,0,8.575,0,217.059,68657.54,48125683.51,
[2A] Industria de los minerales,23747325.7,,,,,,,,,,,,,,,,,,,,,,,,,,,23747325.7,
[2A1] Producción de cemento,13670975.01,,,,,,,,,,,,,,,,,,,,,,,,,,,13670975.01,
[2A2] Producción de cal,2383157,,,,,,,,,,,,,,,,,,,,,,,,,,,2383157,
[2A3] Producción de vidrio,445213.62,,,,,,,,,,,,,,,,,,,,,,,,,,,445213.62,
[2A4] Otros usos de carbonatos,7247980.07,,,,,,,,,,,,,,,,,,,,,,,,,,,7247980.07,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
[2B] Industria química,3539983.62,221240.1,1020791.93,1809611.36,,,,,,,,,,,,,,,,,,,,,,,,6591627.01,
[2B1] Producción de amoniaco,1460563.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1460563.75,
[2B2] Producción de ácido nítrico,,,824494.5,,,,,,,,,,,,,,,,,,,,,,,,,824494.5,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,196297.43,,,,,,,,,,,,,,,,,,,,,,,,,196297.43,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
