categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),507848390.11,156943484.55,38176823.5,3818248.21,126537.04,0.0,1510.18,0.0,4453863.86,5269662.07,42842.54,233888.67,22109.66,0.0,0.0,0.0,0.0,0.0,0.996,1170.62,653.285,130.951,0.001,46.789,0.001,1184.45,156246.86,717096794.34,82082.05
EMISIONES Sin UTCUTS,489606361.56,156701798.49,38076426.37,3818248.21,126537.04,0.0,1510.18,0.0,4453863.86,5269662.07,42842.54,233888.67,22109.66,0.0,0.0,0.0,0.0,0.0,0.996,1170.62,653.285,130.951,0.001,46.789,0.001,1184.45,156246.86,698512682.61,
EMISIONES NETAS (Emisiones + Absorciones),302501148.77,156943484.55,38176823.5,3818248.21,126537.04,0.0,1510.18,0.0,4453863.86,5269662.07,42842.54,233888.67,22109.66,0.0,0.0,0.0,0.0,0.0,0.996,1170.62,653.285,130.951,0.001,46.789,0.001,1184.45,156246.86,511749553.0,
[1] Energía,435740476.52,31526959.48,3400027.54,,,,,,,,,,,,,,,,,,,,,,,,,470667463.55,76420.35
[1A] Actividades de quema del combustible,413115615.91,1034791.14,3358572.74,,,,,,,,,,,,,,,,,,,,,,,,,417508979.79,66895.62
[1A1] Industrias de la energía,173157946.65,137819.93,297200.79,,,,,,,,,,,,,,,,,,,,,,,,,173592967.37,9747.14
[1A1a] Actividad principal producción de electricidad y calor,133317519.23,112607.62,262225.32,,,,,,,,,,,,,,,,,,,,,,,,,133692352.17,8160.43
[1A1b] Refinación del petróleo,12216355.83,9001.34,13900.73,,,,,,,,,,,,,,,,,,,,,,,,,12239257.9,1281.43
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,27624071.59,16210.97,21074.74,,,,,,,,,,,,,,,,,,,,,,,,,27661357.3,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1402752.19,7.014,,,,,,,,,,,,,,,,,,,,,,,,,,1402759.21,
1A1cii Otras Industrias de la energía  ,26221319.4,16203.96,21074.74,,,,,,,,,,,,,,,,,,,,,,,,,26258598.09,305.281
[1A2] Industrias manufactura y de la construcción,57634016.51,117425.63,160822.61,,,,,,,,,,,,,,,,,,,,,,,,,57912264.76,990.047
[1A2a] Hierro y acero,2828112.77,1571.65,1835.75,,,,,,,,,,,,,,,,,,,,,,,,,2831520.16,24.227
[1A2b] Metales no ferrosos,2125315.2,1315.09,1821.53,,,,,,,,,,,,,,,,,,,,,,,,,2128451.83,24.1
[1A2c] Sustancias químicas,6234069.06,3478.79,4076.27,,,,,,,,,,,,,,,,,,,,,,,,,6241624.11,43.792
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,6112672.77,3413.15,4003.07,,,,,,,,,,,,,,,,,,,,,,,,,6120088.99,43.436
1A2ciii Fertilizantes,121396.29,65.639,73.204,,,,,,,,,,,,,,,,,,,,,,,,,121535.13,0.355
"[1A2d] Pulpa, papel e imprenta",2815922.95,1804.96,2477.48,,,,,,,,,,,,,,,,,,,,,,,,,2820205.38,45.312
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",723903.97,36975.23,47034.92,,,,,,,,,,,,,,,,,,,,,,,,,807914.12,487.931
1A2ei elaboración de azúcares,0.0,36279.72,45781.55,,,,,,,,,,,,,,,,,,,,,,,,,82061.28,471.204
1A2eii elaboración de bebidas,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
