categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),456541866.34,134652292.24,34651211.02,1548442.17,1060.98,0.0,0.0,0.0,1443597.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795,934.106,521.296,104.494,0.001,37.336,0.001,945.142,107472.36,628948486.18,77239.77
EMISIONES Sin UTCUTS,442898839.56,134483669.01,34580146.8,1548442.17,1060.98,0.0,0.0,0.0,1443597.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795,934.106,521.296,104.494,0.001,37.336,0.001,945.142,107472.36,615065771.96,
EMISIONES NETAS (Emisiones + Absorciones),246913306.04,134652292.24,34651211.02,1548442.17,1060.98,0.0,0.0,0.0,1443597.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795,934.106,521.296,104.494,0.001,37.336,0.001,945.142,107472.36,419319925.89,
[1] Energía,387192804.43,23093873.51,3607191.99,,,,,,,,,,,,,,,,,,,,,,,,,413893869.93,71687.68
[1A] Actividades de quema del combustible,373646132.71,991622.09,3593575.28,,,,,,,,,,,,,,,,,,,,,,,,,378231330.08,68766.16
[1A1] Industrias de la energía,162799468.88,151737.62,322833.92,,,,,,,,,,,,,,,,,,,,,,,,,163274040.42,14403.8
[1A1a] Actividad principal producción de electricidad y calor,125715575.99,124637.15,280880.76,,,,,,,,,,,,,,,,,,,,,,,,,126121093.9,12690.51
[1A1b] Refinación del petróleo,11309271.39,8926.34,14467.31,,,,,,,,,,,,,,,,,,,,,,,,,11332665.04,1408.02
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,25774621.51,18174.13,27485.84,,,,,,,,,,,,,,,,,,,,,,,,,25820281.48,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1055516.26,5.278,,,,,,,,,,,,,,,,,,,,,,,,,,1055521.54,
1A1cii Otras Industrias de la energía  ,24719105.25,18168.85,27485.84,,,,,,,,,,,,,,,,,,,,,,,,,24764759.95,305.281
[1A2] Industrias manufactura y de la construcción,47038579.27,87473.9,125722.94,,,,,,,,,,,,,,,,,,,,,,,,,47251776.1,1192.47
[1A2a] Hierro y acero,2269016.64,1707.32,2671.46,,,,,,,,,,,,,,,,,,,,,,,,,2273395.42,56.718
[1A2b] Metales no ferrosos,1213988.58,946.755,1513.5,,,,,,,,,,,,,,,,,,,,,,,,,1216448.83,17.805
[1A2c] Sustancias químicas,4169002.56,2968.99,4469.04,,,,,,,,,,,,,,,,,,,,,,,,,4176440.59,75.861
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,3981580.16,2872.73,4369.12,,,,,,,,,,,,,,,,,,,,,,,,,3988822.01,75.325
1A2ciii Fertilizantes,187422.39,96.26,99.919,,,,,,,,,,,,,,,,,,,,,,,,,187618.57,0.536
