categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),523224298.97,151560210.79,41926996.43,2232622.48,372307.38,31641.72,4771.11,0.0,5375147.28,6271181.09,112617.66,356719.44,218882.78,8837.98,23025.36,984.774,0.0,810827.82,1.097,17408.98,1795.92,144.18,0.002,51.612,0.001,1512.6,177916.86,732729904.31,76740.52
EMISIONES Sin UTCUTS,499193359.12,150922883.42,41622938.49,2232622.48,372307.38,31641.72,4771.11,0.0,5375147.28,6271181.09,112617.66,356719.44,218882.78,8837.98,23025.36,984.774,0.0,810827.82,1.097,17408.98,1795.92,144.18,0.002,51.612,0.001,1512.6,177916.86,707757579.15,
EMISIONES NETAS (Emisiones + Absorciones),317625065.76,151560210.79,41926996.43,2232622.48,372307.38,31641.72,4771.11,0.0,5375147.28,6271181.09,112617.66,356719.44,218882.78,8837.98,23025.36,984.774,0.0,810827.82,1.097,17408.98,1795.92,144.18,0.002,51.612,0.001,1512.6,177916.86,527130671.1,
[1] Energía,447990449.75,21365369.76,3066948.17,,,,,,,,,,,,,,,,,,,,,,,,,472422767.68,68073.7
[1A] Actividades de quema del combustible,435242150.05,1079732.46,3054938.76,,,,,,,,,,,,,,,,,,,,,,,,,439376821.27,64893.61
[1A1] Industrias de la energía,192145422.34,160462.69,324890.28,,,,,,,,,,,,,,,,,,,,,,,,,192630775.31,10527.53
[1A1a] Actividad principal producción de electricidad y calor,149532616.72,134842.29,291119.04,,,,,,,,,,,,,,,,,,,,,,,,,149958578.05,9029.58
[1A1b] Refinación del petróleo,13570173.49,9381.33,13777.36,,,,,,,,,,,,,,,,,,,,,,,,,13593332.18,1192.67
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,29042632.13,16239.06,19993.88,,,,,,,,,,,,,,,,,,,,,,,,,29078865.07,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1414406.16,7.072,,,,,,,,,,,,,,,,,,,,,,,,,,1414413.23,
1A1cii Otras Industrias de la energía  ,27628225.97,16231.99,19993.88,,,,,,,,,,,,,,,,,,,,,,,,,27664451.84,305.281
